t=0, n=30, r=3, m=0, rp=3 ---------> -2.91315e+11
t=1, n=30, r=3, m=0, rp=3 ---------> -3.50148e+11
t=0, n=31, r=3, m=0, rp=3 ---------> 4.64505e+11
t=1, n=31, r=3, m=0, rp=3 ---------> 4.47032e+11
t=0, n=32, r=3, m=0, rp=3 ---------> 5.95912e+11
t=1, n=32, r=3, m=0, rp=3 ---------> 8.76429e+11
t=0, n=33, r=3, m=0, rp=3 ---------> -3.21234e+10
t=1, n=33, r=3, m=0, rp=3 ---------> -4.42149e+11
t=0, n=34, r=3, m=0, rp=3 ---------> 1.72069e+11
t=1, n=34, r=3, m=0, rp=3 ---------> -8.36134e+11
t=0, n=35, r=3, m=0, rp=3 ---------> 2.97962e+11
t=1, n=35, r=3, m=0, rp=3 ---------> -3.55999e+10
t=0, n=36, r=3, m=0, rp=3 ---------> 3.33526e+11
t=1, n=36, r=3, m=0, rp=3 ---------> 4.12864e+11
t=0, n=37, r=3, m=0, rp=3 ---------> 8.54998e+11
t=1, n=37, r=3, m=0, rp=3 ---------> 5.2316e+11
t=0, n=38, r=3, m=0, rp=3 ---------> 6.52914e+11
t=1, n=38, r=3, m=0, rp=3 ---------> 4.62186e+11
t=0, n=39, r=3, m=0, rp=3 ---------> 6.45593e+11
t=1, n=39, r=3, m=0, rp=3 ---------> 1.18308e+10
t=0, n=40, r=3, m=0, rp=3 ---------> 5.28963e+10
t=1, n=40, r=3, m=0, rp=3 ---------> 6.66208e+10
t=0, n=41, r=3, m=0, rp=3 ---------> 6.5772e+11
t=1, n=41, r=3, m=0, rp=3 ---------> 6.36693e+11
t=0, n=42, r=3, m=0, rp=3 ---------> 3.32255e+11
t=1, n=42, r=3, m=0, rp=3 ---------> 1.56922e+11
t=0, n=43, r=3, m=0, rp=3 ---------> -1.08579e+11
t=1, n=43, r=3, m=0, rp=3 ---------> -2.16665e+11
t=0, n=44, r=3, m=0, rp=3 ---------> 2.38926e+11
t=1, n=44, r=3, m=0, rp=3 ---------> 2.99623e+11
t=0, n=0, r=0, m=1, rp=3 ---------> 1.21262e+11
t=1, n=0, r=0, m=1, rp=3 ---------> -2.38746e+11
t=0, n=1, r=0, m=1, rp=3 ---------> 3.19145e+11
t=1, n=1, r=0, m=1, rp=3 ---------> -1.57723e+11
t=0, n=2, r=0, m=1, rp=3 ---------> -2.10762e+10
t=1, n=2, r=0, m=1, rp=3 ---------> -2.43239e+11
t=0, n=3, r=0, m=1, rp=3 ---------> 8.27853e+10
t=1, n=3, r=0, m=1, rp=3 ---------> -1.14722e+11
t=0, n=4, r=0, m=1, rp=3 ---------> 1.27607e+11
t=1, n=4, r=0, m=1, rp=3 ---------> -1.35104e+11
t=0, n=5, r=0, m=1, rp=3 ---------> -3.44445e+11
t=1, n=5, r=0, m=1, rp=3 ---------> -2.37983e+11
t=0, n=6, r=0, m=1, rp=3 ---------> 3.67528e+11
t=1, n=6, r=0, m=1, rp=3 ---------> -2.56913e+11
t=0, n=7, r=0, m=1, rp=3 ---------> 1.75369e+11
t=1, n=7, r=0, m=1, rp=3 ---------> -6.86467e+10
t=0, n=8, r=0, m=1, rp=3 ---------> 1.26833e+11
t=1, n=8, r=0, m=1, rp=3 ---------> -1.49412e+11
t=0, n=9, r=0, m=1, rp=3 ---------> 2.04537e+11
t=1, n=9, r=0, m=1, rp=3 ---------> -2.82648e+11
t=0, n=10, r=0, m=1, rp=3 ---------> -4.88708e+10
t=1, n=10, r=0, m=1, rp=3 ---------> -1.61369e+11
t=0, n=11, r=0, m=1, rp=3 ---------> -1.31125e+11
t=1, n=11, r=0, m=1, rp=3 ---------> -3.01412e+11
t=0, n=12, r=0, m=1, rp=3 ---------> 7.27693e+10
t=1, n=12, r=0, m=1, rp=3 ---------> -1.13065e+11
t=0, n=13, r=0, m=1, rp=3 ---------> 2.46959e+11
t=1, n=13, r=0, m=1, rp=3 ---------> -3.03853e+11
t=0, n=14, r=0, m=1, rp=3 ---------> 1.43788e+11
t=1, n=14, r=0, m=1, rp=3 ---------> -1.79409e+11
t=0, n=15, r=0, m=1, rp=3 ---------> -3.41802e+11
t=1, n=15, r=0, m=1, rp=3 ---------> -1.91152e+11
t=0, n=16, r=0, m=1, rp=3 ---------> -4.89737e+11
t=1, n=16, r=0, m=1, rp=3 ---------> -5.59355e+10
t=0, n=17, r=0, m=1, rp=3 ---------> 1.34431e+11
t=1, n=17, r=0, m=1, rp=3 ---------> -9.43114e+10
t=0, n=18, r=0, m=1, rp=3 ---------> 1.86773e+10
t=1, n=18, r=0, m=1, rp=3 ---------> -1.28994e+11
t=0, n=19, r=0, m=1, rp=3 ---------> 7.24394e+10
t=1, n=19, r=0, m=1, rp=3 ---------> -6.81352e+10
t=0, n=20, r=0, m=1, rp=3 ---------> -1.2174e+11
t=1, n=20, r=0, m=1, rp=3 ---------> -1.12378e+11
t=0, n=21, r=0, m=1, rp=3 ---------> -1.02968e+11
t=1, n=21, r=0, m=1, rp=3 ---------> -1.5992e+11
t=0, n=22, r=0, m=1, rp=3 ---------> -1.72877e+10
t=1, n=22, r=0, m=1, rp=3 ---------> -1.87798e+11
t=0, n=23, r=0, m=1, rp=3 ---------> 1.59517e+11
t=1, n=23, r=0, m=1, rp=3 ---------> -3.8923e+10
t=0, n=24, r=0, m=1, rp=3 ---------> -1.79975e+11
t=1, n=24, r=0, m=1, rp=3 ---------> -2.04891e+11
t=0, n=25, r=0, m=1, rp=3 ---------> -1.26747e+10
t=1, n=25, r=0, m=1, rp=3 ---------> -1.50374e+11
t=0, n=26, r=0, m=1, rp=3 ---------> -1.67251e+11
t=1, n=26, r=0, m=1, rp=3 ---------> -1.91985e+11
t=0, n=27, r=0, m=1, rp=3 ---------> 3.47637e+11
t=1, n=27, r=0, m=1, rp=3 ---------> -1.63099e+11
t=0, n=28, r=0, m=1, rp=3 ---------> -1.34554e+11
t=1, n=28, r=0, m=1, rp=3 ---------> -2.41667e+11
t=0, n=29, r=0, m=1, rp=3 ---------> 8.47332e+10
t=1, n=29, r=0, m=1, rp=3 ---------> -1.73266e+11
t=0, n=30, r=0, m=1, rp=3 ---------> 1.54853e+11
t=1, n=30, r=0, m=1, rp=3 ---------> -1.35737e+11
t=0, n=31, r=0, m=1, rp=3 ---------> -1.24326e+11
t=1, n=31, r=0, m=1, rp=3 ---------> -1.87406e+11
t=0, n=32, r=0, m=1, rp=3 ---------> -3.41804e+10
t=1, n=32, r=0, m=1, rp=3 ---------> -2.04275e+11
t=0, n=33, r=0, m=1, rp=3 ---------> 5.87532e+10
t=1, n=33, r=0, m=1, rp=3 ---------> -1.08206e+11
t=0, n=34, r=0, m=1, rp=3 ---------> 1.8275e+11
t=1, n=34, r=0, m=1, rp=3 ---------> 2.37465e+10
t=0, n=35, r=0, m=1, rp=3 ---------> 5.62165e+10
t=1, n=35, r=0, m=1, rp=3 ---------> -5.9183e+10
t=0, n=36, r=0, m=1, rp=3 ---------> 1.08253e+11
t=1, n=36, r=0, m=1, rp=3 ---------> -4.22558e+10
t=0, n=37, r=0, m=1, rp=3 ---------> -2.47905e+11
t=1, n=37, r=0, m=1, rp=3 ---------> -1.87769e+11
t=0, n=38, r=0, m=1, rp=3 ---------> 2.25118e+11
t=1, n=38, r=0, m=1, rp=3 ---------> -1.41263e+11
t=0, n=39, r=0, m=1, rp=3 ---------> 1.85683e+11
t=1, n=39, r=0, m=1, rp=3 ---------> -2.72067e+11
t=0, n=40, r=0, m=1, rp=3 ---------> 1.71057e+11
t=1, n=40, r=0, m=1, rp=3 ---------> -8.84829e+10
t=0, n=41, r=0, m=1, rp=3 ---------> -3.68933e+10
t=1, n=41, r=0, m=1, rp=3 ---------> -1.14495e+10
t=0, n=42, r=0, m=1, rp=3 ---------> 6.90315e+10
t=1, n=42, r=0, m=1, rp=3 ---------> -8.06031e+10
t=0, n=43, r=0, m=1, rp=3 ---------> 1.90721e+11
t=1, n=43, r=0, m=1, rp=3 ---------> 1.02261e+10
t=0, n=44, r=0, m=1, rp=3 ---------> 8.02398e+10
t=1, n=44, r=0, m=1, rp=3 ---------> -2.44727e+11
t=0, n=0, r=1, m=1, rp=3 ---------> 4.2496e+11
t=1, n=0, r=1, m=1, rp=3 ---------> 2.52202e+11
t=0, n=1, r=1, m=1, rp=3 ---------> -9.15781e+11
t=1, n=1, r=1, m=1, rp=3 ---------> 1.43886e+11
t=0, n=2, r=1, m=1, rp=3 ---------> -6.45149e+11
t=1, n=2, r=1, m=1, rp=3 ---------> 4.2204e+11
t=0, n=3, r=1, m=1, rp=3 ---------> -8.21931e+10
t=1, n=3, r=1, m=1, rp=3 ---------> 4.13507e+11
t=0, n=4, r=1, m=1, rp=3 ---------> -4.15196e+11
t=1, n=4, r=1, m=1, rp=3 ---------> 1.26209e+11
t=0, n=5, r=1, m=1, rp=3 ---------> -3.45472e+10
t=1, n=5, r=1, m=1, rp=3 ---------> 7.97846e+11
t=0, n=6, r=1, m=1, rp=3 ---------> -1.06849e+11
t=1, n=6, r=1, m=1, rp=3 ---------> 4.3507e+11
t=0, n=7, r=1, m=1, rp=3 ---------> -2.59209e+10
t=1, n=7, r=1, m=1, rp=3 ---------> 7.00701e+10
t=0, n=8, r=1, m=1, rp=3 ---------> -1.23477e+10
t=1, n=8, r=1, m=1, rp=3 ---------> 7.29664e+10
t=0, n=9, r=1, m=1, rp=3 ---------> -3.71099e+11
t=1, n=9, r=1, m=1, rp=3 ---------> 3.87818e+11
t=0, n=10, r=1, m=1, rp=3 ---------> -4.10715e+10
t=1, n=10, r=1, m=1, rp=3 ---------> 6.32133e+11
t=0, n=11, r=1, m=1, rp=3 ---------> 3.68856e+10
t=1, n=11, r=1, m=1, rp=3 ---------> 4.24721e+11
t=0, n=12, r=1, m=1, rp=3 ---------> -6.96266e+10
t=1, n=12, r=1, m=1, rp=3 ---------> 1.53094e+11
t=0, n=13, r=1, m=1, rp=3 ---------> -3.6666e+11
t=1, n=13, r=1, m=1, rp=3 ---------> 2.96133e+11
t=0, n=14, r=1, m=1, rp=3 ---------> -5.78134e+11
t=1, n=14, r=1, m=1, rp=3 ---------> 2.21944e+11
t=0, n=15, r=1, m=1, rp=3 ---------> 2.77846e+11
t=1, n=15, r=1, m=1, rp=3 ---------> 3.3558e+11
t=0, n=16, r=1, m=1, rp=3 ---------> 9.47431e+10
t=1, n=16, r=1, m=1, rp=3 ---------> 2.35887e+11
t=0, n=17, r=1, m=1, rp=3 ---------> -8.48257e+11
t=1, n=17, r=1, m=1, rp=3 ---------> -1.34473e+11
t=0, n=18, r=1, m=1, rp=3 ---------> 2.06552e+11
t=1, n=18, r=1, m=1, rp=3 ---------> 3.06938e+10
t=0, n=19, r=1, m=1, rp=3 ---------> 3.89332e+11
t=1, n=19, r=1, m=1, rp=3 ---------> 6.46675e+10
t=0, n=20, r=1, m=1, rp=3 ---------> 1.30835e+11
t=1, n=20, r=1, m=1, rp=3 ---------> 3.63032e+11
t=0, n=21, r=1, m=1, rp=3 ---------> 1.86433e+10
t=1, n=21, r=1, m=1, rp=3 ---------> 1.45236e+11
t=0, n=22, r=1, m=1, rp=3 ---------> 1.20851e+11
t=1, n=22, r=1, m=1, rp=3 ---------> 4.883e+11
t=0, n=23, r=1, m=1, rp=3 ---------> -2.68025e+11
t=1, n=23, r=1, m=1, rp=3 ---------> -1.28635e+11
t=0, n=24, r=1, m=1, rp=3 ---------> 1.83654e+11
t=1, n=24, r=1, m=1, rp=3 ---------> 4.81711e+11
t=0, n=25, r=1, m=1, rp=3 ---------> -9.93263e+09
t=1, n=25, r=1, m=1, rp=3 ---------> 3.63512e+11
t=0, n=26, r=1, m=1, rp=3 ---------> -9.30137e+10
t=1, n=26, r=1, m=1, rp=3 ---------> 3.4867e+11
t=0, n=27, r=1, m=1, rp=3 ---------> 3.84829e+10
t=1, n=27, r=1, m=1, rp=3 ---------> -3.07008e+11
t=0, n=28, r=1, m=1, rp=3 ---------> 4.2947e+11
t=1, n=28, r=1, m=1, rp=3 ---------> 5.11515e+11
t=0, n=29, r=1, m=1, rp=3 ---------> -3.1645e+11
t=1, n=29, r=1, m=1, rp=3 ---------> -1.44179e+11
t=0, n=30, r=1, m=1, rp=3 ---------> 4.146e+11
t=1, n=30, r=1, m=1, rp=3 ---------> 8.83751e+10
t=0, n=31, r=1, m=1, rp=3 ---------> -9.08264e+09
t=1, n=31, r=1, m=1, rp=3 ---------> 5.73049e+11
t=0, n=32, r=1, m=1, rp=3 ---------> 4.09111e+11
t=1, n=32, r=1, m=1, rp=3 ---------> 3.78009e+11
t=0, n=33, r=1, m=1, rp=3 ---------> -4.54012e+11
t=1, n=33, r=1, m=1, rp=3 ---------> 1.12647e+11
t=0, n=34, r=1, m=1, rp=3 ---------> -7.02413e+11
t=1, n=34, r=1, m=1, rp=3 ---------> -2.69631e+11
t=0, n=35, r=1, m=1, rp=3 ---------> -1.55902e+11
t=1, n=35, r=1, m=1, rp=3 ---------> 3.35234e+10
t=0, n=36, r=1, m=1, rp=3 ---------> 6.75286e+10
t=1, n=36, r=1, m=1, rp=3 ---------> 3.67399e+10
t=0, n=37, r=1, m=1, rp=3 ---------> 1.35271e+11
t=1, n=37, r=1, m=1, rp=3 ---------> 7.92663e+11
t=0, n=38, r=1, m=1, rp=3 ---------> -1.91903e+11
t=1, n=38, r=1, m=1, rp=3 ---------> 3.54633e+11
t=0, n=39, r=1, m=1, rp=3 ---------> -4.14498e+11
t=1, n=39, r=1, m=1, rp=3 ---------> 9.51381e+10
t=0, n=40, r=1, m=1, rp=3 ---------> 1.57834e+11
t=1, n=40, r=1, m=1, rp=3 ---------> -6.65626e+10
t=0, n=41, r=1, m=1, rp=3 ---------> 4.69339e+11
t=1, n=41, r=1, m=1, rp=3 ---------> 1.80401e+11
t=0, n=42, r=1, m=1, rp=3 ---------> -7.09009e+10
t=1, n=42, r=1, m=1, rp=3 ---------> 1.48503e+10
t=0, n=43, r=1, m=1, rp=3 ---------> 1.66712e+11
t=1, n=43, r=1, m=1, rp=3 ---------> -1.30118e+11
t=0, n=44, r=1, m=1, rp=3 ---------> -6.82722e+11
t=1, n=44, r=1, m=1, rp=3 ---------> 2.75518e+11
t=0, n=0, r=2, m=1, rp=3 ---------> -9.87028e+11
t=1, n=0, r=2, m=1, rp=3 ---------> -8.68292e+11
t=0, n=1, r=2, m=1, rp=3 ---------> 8.80051e+11
t=1, n=1, r=2, m=1, rp=3 ---------> 1.93749e+11
t=0, n=2, r=2, m=1, rp=3 ---------> 7.8699e+11
t=1, n=2, r=2, m=1, rp=3 ---------> -3.43411e+10
t=0, n=3, r=2, m=1, rp=3 ---------> 4.59158e+11
t=1, n=3, r=2, m=1, rp=3 ---------> -5.64762e+11
t=0, n=4, r=2, m=1, rp=3 ---------> -2.32191e+11
t=1, n=4, r=2, m=1, rp=3 ---------> -7.67732e+11
t=0, n=5, r=2, m=1, rp=3 ---------> -1.07681e+11
t=1, n=5, r=2, m=1, rp=3 ---------> -1.11039e+12
t=0, n=6, r=2, m=1, rp=3 ---------> -1.07279e+11
t=1, n=6, r=2, m=1, rp=3 ---------> -4.60386e+11
t=0, n=7, r=2, m=1, rp=3 ---------> -2.50736e+11
t=1, n=7, r=2, m=1, rp=3 ---------> -4.17535e+11
t=0, n=8, r=2, m=1, rp=3 ---------> 6.93825e+11
t=1, n=8, r=2, m=1, rp=3 ---------> -2.46576e+11
t=0, n=9, r=2, m=1, rp=3 ---------> -9.74656e+09
t=1, n=9, r=2, m=1, rp=3 ---------> -1.66714e+11
t=0, n=10, r=2, m=1, rp=3 ---------> -2.46072e+10
t=1, n=10, r=2, m=1, rp=3 ---------> -7.71907e+11
t=0, n=11, r=2, m=1, rp=3 ---------> -2.03489e+11
t=1, n=11, r=2, m=1, rp=3 ---------> -6.08756e+11
t=0, n=12, r=2, m=1, rp=3 ---------> 1.93544e+10
t=1, n=12, r=2, m=1, rp=3 ---------> -2.98299e+11
t=0, n=13, r=2, m=1, rp=3 ---------> 2.24862e+11
t=1, n=13, r=2, m=1, rp=3 ---------> -2.60737e+11
t=0, n=14, r=2, m=1, rp=3 ---------> 7.49988e+11
t=1, n=14, r=2, m=1, rp=3 ---------> -1.58626e+11
t=0, n=15, r=2, m=1, rp=3 ---------> -2.56856e+11
t=1, n=15, r=2, m=1, rp=3 ---------> -8.49236e+11
t=0, n=16, r=2, m=1, rp=3 ---------> 1.28477e+11
t=1, n=16, r=2, m=1, rp=3 ---------> -4.28021e+11
t=0, n=17, r=2, m=1, rp=3 ---------> 9.14492e+11
t=1, n=17, r=2, m=1, rp=3 ---------> 5.16767e+11
t=0, n=18, r=2, m=1, rp=3 ---------> -4.48216e+11
t=1, n=18, r=2, m=1, rp=3 ---------> -4.08042e+11
t=0, n=19, r=2, m=1, rp=3 ---------> -1.02538e+12
t=1, n=19, r=2, m=1, rp=3 ---------> -5.60178e+11
t=0, n=20, r=2, m=1, rp=3 ---------> -1.83482e+11
t=1, n=20, r=2, m=1, rp=3 ---------> -7.78637e+11
t=0, n=21, r=2, m=1, rp=3 ---------> 5.39358e+10
t=1, n=21, r=2, m=1, rp=3 ---------> -4.5389e+11
t=0, n=22, r=2, m=1, rp=3 ---------> -7.51438e+11
t=1, n=22, r=2, m=1, rp=3 ---------> -1.40348e+12
t=0, n=23, r=2, m=1, rp=3 ---------> 7.16473e+11
t=1, n=23, r=2, m=1, rp=3 ---------> -1.18404e+11
t=0, n=24, r=2, m=1, rp=3 ---------> -4.16208e+11
t=1, n=24, r=2, m=1, rp=3 ---------> -1.29578e+12
t=0, n=25, r=2, m=1, rp=3 ---------> 2.51523e+11
t=1, n=25, r=2, m=1, rp=3 ---------> -5.31219e+11
t=0, n=26, r=2, m=1, rp=3 ---------> -9.10315e+10
t=1, n=26, r=2, m=1, rp=3 ---------> -4.84792e+11
t=0, n=27, r=2, m=1, rp=3 ---------> 2.53232e+11
t=1, n=27, r=2, m=1, rp=3 ---------> 7.42347e+10
t=0, n=28, r=2, m=1, rp=3 ---------> -7.64609e+11
t=1, n=28, r=2, m=1, rp=3 ---------> -8.02503e+11
t=0, n=29, r=2, m=1, rp=3 ---------> 2.82922e+11
t=1, n=29, r=2, m=1, rp=3 ---------> -5.16372e+11
t=0, n=30, r=2, m=1, rp=3 ---------> -2.88491e+11
t=1, n=30, r=2, m=1, rp=3 ---------> -1.34092e+11
t=0, n=31, r=2, m=1, rp=3 ---------> -5.28096e+11
t=1, n=31, r=2, m=1, rp=3 ---------> -8.26388e+11
t=0, n=32, r=2, m=1, rp=3 ---------> -8.59556e+11
t=1, n=32, r=2, m=1, rp=3 ---------> -1.06986e+12
t=0, n=33, r=2, m=1, rp=3 ---------> 5.24791e+11
t=1, n=33, r=2, m=1, rp=3 ---------> 2.04617e+11
t=0, n=34, r=2, m=1, rp=3 ---------> 1.9771e+11
t=1, n=34, r=2, m=1, rp=3 ---------> 3.08231e+11
t=0, n=35, r=2, m=1, rp=3 ---------> 1.9376e+11
t=1, n=35, r=2, m=1, rp=3 ---------> -7.39135e+10
t=0, n=36, r=2, m=1, rp=3 ---------> -6.97865e+11
t=1, n=36, r=2, m=1, rp=3 ---------> -5.23299e+11
t=0, n=37, r=2, m=1, rp=3 ---------> 2.01801e+11
t=1, n=37, r=2, m=1, rp=3 ---------> -1.02721e+12
t=0, n=38, r=2, m=1, rp=3 ---------> -3.32372e+11
t=1, n=38, r=2, m=1, rp=3 ---------> -6.71911e+11
t=0, n=39, r=2, m=1, rp=3 ---------> 1.58991e+11
t=1, n=39, r=2, m=1, rp=3 ---------> -3.65865e+11
t=0, n=40, r=2, m=1, rp=3 ---------> -2.55896e+11
t=1, n=40, r=2, m=1, rp=3 ---------> -1.47564e+11
t=0, n=41, r=2, m=1, rp=3 ---------> -4.15487e+11
t=1, n=41, r=2, m=1, rp=3 ---------> -7.50176e+11
t=0, n=42, r=2, m=1, rp=3 ---------> 2.08374e+10
t=1, n=42, r=2, m=1, rp=3 ---------> -4.15049e+11
t=0, n=43, r=2, m=1, rp=3 ---------> -3.27343e+11
t=1, n=43, r=2, m=1, rp=3 ---------> 1.64459e+11
t=0, n=44, r=2, m=1, rp=3 ---------> 8.02398e+10
t=1, n=44, r=2, m=1, rp=3 ---------> -2.44727e+11
t=0, n=0, r=3, m=1, rp=3 ---------> 7.47746e+11
t=1, n=0, r=3, m=1, rp=3 ---------> 4.31497e+11
t=0, n=1, r=3, m=1, rp=3 ---------> 2.99341e+11
t=1, n=1, r=3, m=1, rp=3 ---------> -6.75905e+11
t=0, n=2, r=3, m=1, rp=3 ---------> 9.96681e+11
t=1, n=2, r=3, m=1, rp=3 ---------> -3.87576e+11
t=0, n=3, r=3, m=1, rp=3 ---------> 8.81942e+11
t=1, n=3, r=3, m=1, rp=3 ---------> -1.45491e+11
t=0, n=4, r=3, m=1, rp=3 ---------> 6.46782e+11
t=1, n=4, r=3, m=1, rp=3 ---------> -4.73275e+10
t=0, n=5, r=3, m=1, rp=3 ---------> 1.01287e+12
t=1, n=5, r=3, m=1, rp=3 ---------> 2.58854e+11
t=0, n=6, r=3, m=1, rp=3 ---------> 1.96666e+11
t=1, n=6, r=3, m=1, rp=3 ---------> 2.95144e+11
t=0, n=7, r=3, m=1, rp=3 ---------> 3.21569e+11
t=1, n=7, r=3, m=1, rp=3 ---------> -3.8556e+09
t=0, n=8, r=3, m=1, rp=3 ---------> 8.6332e+11
t=1, n=8, r=3, m=1, rp=3 ---------> -2.75817e+11
t=0, n=9, r=3, m=1, rp=3 ---------> 3.18602e+11
t=1, n=9, r=3, m=1, rp=3 ---------> 4.78805e+10
t=0, n=10, r=3, m=1, rp=3 ---------> 4.37988e+11
t=1, n=10, r=3, m=1, rp=3 ---------> 3.26043e+11
t=0, n=11, r=3, m=1, rp=3 ---------> 6.44052e+11
t=1, n=11, r=3, m=1, rp=3 ---------> 1.20442e+11
t=0, n=12, r=3, m=1, rp=3 ---------> 4.61709e+11
t=1, n=12, r=3, m=1, rp=3 ---------> -2.6407e+10
t=0, n=13, r=3, m=1, rp=3 ---------> 6.65945e+10
t=1, n=13, r=3, m=1, rp=3 ---------> 1.18941e+11
t=0, n=14, r=3, m=1, rp=3 ---------> 5.04213e+11
t=1, n=14, r=3, m=1, rp=3 ---------> -3.48593e+11
t=0, n=15, r=3, m=1, rp=3 ---------> 1.0508e+12
t=1, n=15, r=3, m=1, rp=3 ---------> 2.35958e+11
t=0, n=16, r=3, m=1, rp=3 ---------> 3.58181e+11
t=1, n=16, r=3, m=1, rp=3 ---------> 8.82583e+10
t=0, n=17, r=3, m=1, rp=3 ---------> 2.38085e+11
t=1, n=17, r=3, m=1, rp=3 ---------> -9.3822e+11
t=0, n=18, r=3, m=1, rp=3 ---------> 3.14918e+11
t=1, n=18, r=3, m=1, rp=3 ---------> 1.81113e+10
t=0, n=19, r=3, m=1, rp=3 ---------> 2.34968e+11
t=1, n=19, r=3, m=1, rp=3 ---------> 4.7104e+11
t=0, n=20, r=3, m=1, rp=3 ---------> 7.87197e+11
t=1, n=20, r=3, m=1, rp=3 ---------> 1.59783e+11
t=0, n=21, r=3, m=1, rp=3 ---------> 5.11508e+11
t=1, n=21, r=3, m=1, rp=3 ---------> -4.147e+10
t=0, n=22, r=3, m=1, rp=3 ---------> 1.04885e+12
t=1, n=22, r=3, m=1, rp=3 ---------> 3.35176e+11
t=0, n=23, r=3, m=1, rp=3 ---------> 5.71173e+11
t=1, n=23, r=3, m=1, rp=3 ---------> -5.97275e+11
t=0, n=24, r=3, m=1, rp=3 ---------> 1.15542e+12
t=1, n=24, r=3, m=1, rp=3 ---------> 2.73081e+11
t=0, n=25, r=3, m=1, rp=3 ---------> 8.73348e+11
t=1, n=25, r=3, m=1, rp=3 ---------> 3.56665e+10
t=0, n=26, r=3, m=1, rp=3 ---------> 5.84872e+11
t=1, n=26, r=3, m=1, rp=3 ---------> 5.17776e+09
t=0, n=27, r=3, m=1, rp=3 ---------> 5.95659e+11
t=1, n=27, r=3, m=1, rp=3 ---------> -2.15415e+11
t=0, n=28, r=3, m=1, rp=3 ---------> 5.77994e+11
t=1, n=28, r=3, m=1, rp=3 ---------> 5.02465e+11
t=0, n=29, r=3, m=1, rp=3 ---------> 7.33766e+11
t=1, n=29, r=3, m=1, rp=3 ---------> -2.81287e+11
t=0, n=30, r=3, m=1, rp=3 ---------> 3.20241e+11
t=1, n=30, r=3, m=1, rp=3 ---------> -9.33905e+10
t=0, n=31, r=3, m=1, rp=3 ---------> 6.07017e+11
t=1, n=31, r=3, m=1, rp=3 ---------> 2.93054e+11
t=0, n=32, r=3, m=1, rp=3 ---------> 8.24767e+11
t=1, n=32, r=3, m=1, rp=3 ---------> 6.4255e+11
t=0, n=33, r=3, m=1, rp=3 ---------> 1.05226e+11
t=1, n=33, r=3, m=1, rp=3 ---------> -3.4799e+11
t=0, n=34, r=3, m=1, rp=3 ---------> 1.23312e+11
t=1, n=34, r=3, m=1, rp=3 ---------> -8.03264e+11
t=0, n=35, r=3, m=1, rp=3 ---------> 2.80889e+11
t=1, n=35, r=3, m=1, rp=3 ---------> -1.30148e+11
t=0, n=36, r=3, m=1, rp=3 ---------> 2.50436e+11
t=1, n=36, r=3, m=1, rp=3 ---------> 2.31265e+11
t=0, n=37, r=3, m=1, rp=3 ---------> 7.50638e+11
t=1, n=37, r=3, m=1, rp=3 ---------> 3.95507e+11
t=0, n=38, r=3, m=1, rp=3 ---------> 4.57902e+11
t=1, n=38, r=3, m=1, rp=3 ---------> 2.50808e+11
t=0, n=39, r=3, m=1, rp=3 ---------> 7.5045e+11
t=1, n=39, r=3, m=1, rp=3 ---------> -8.92215e+10
t=0, n=40, r=3, m=1, rp=3 ---------> 2.43618e+11
t=1, n=40, r=3, m=1, rp=3 ---------> 8.54259e+10
t=0, n=41, r=3, m=1, rp=3 ---------> 6.66741e+11
t=1, n=41, r=3, m=1, rp=3 ---------> 2.91158e+11
t=0, n=42, r=3, m=1, rp=3 ---------> 4.54267e+11
t=1, n=42, r=3, m=1, rp=3 ---------> -1.26421e+11
t=0, n=43, r=3, m=1, rp=3 ---------> 2.69576e+10
t=1, n=43, r=3, m=1, rp=3 ---------> -2.14865e+11
t=0, n=44, r=3, m=1, rp=3 ---------> 1.67348e+09
t=1, n=44, r=3, m=1, rp=3 ---------> 2.81443e+11
t=0, n=0, r=0, m=2, rp=3 ---------> -5.41861e+10
t=1, n=0, r=0, m=2, rp=3 ---------> -4.08592e+11
t=0, n=1, r=0, m=2, rp=3 ---------> 9.18686e+10
t=1, n=1, r=0, m=2, rp=3 ---------> -4.68739e+10
t=0, n=2, r=0, m=2, rp=3 ---------> -1.15242e+11
t=1, n=2, r=0, m=2, rp=3 ---------> -1.26541e+11
t=0, n=3, r=0, m=2, rp=3 ---------> -7.90593e+09
t=1, n=3, r=0, m=2, rp=3 ---------> -1.12328e+11
t=0, n=4, r=0, m=2, rp=3 ---------> 3.80945e+10
t=1, n=4, r=0, m=2, rp=3 ---------> -5.66826e+10
t=0, n=5, r=0, m=2, rp=3 ---------> -2.46311e+11
t=1, n=5, r=0, m=2, rp=3 ---------> -2.52791e+11
t=0, n=6, r=0, m=2, rp=3 ---------> 3.09976e+10
t=1, n=6, r=0, m=2, rp=3 ---------> -3.67105e+11
t=0, n=7, r=0, m=2, rp=3 ---------> -6.05141e+10
t=1, n=7, r=0, m=2, rp=3 ---------> -2.08545e+11
t=0, n=8, r=0, m=2, rp=3 ---------> 1.00129e+10
t=1, n=8, r=0, m=2, rp=3 ---------> -3.45535e+10
t=0, n=9, r=0, m=2, rp=3 ---------> -9.87583e+10
t=1, n=9, r=0, m=2, rp=3 ---------> -2.69474e+11
t=0, n=10, r=0, m=2, rp=3 ---------> -3.83425e+10
