t=1, n=34, r=2, m=0, rp=0 ---------> 5.2758e-05
t=0, n=35, r=2, m=0, rp=0 ---------> -5.39916e-05
t=1, n=35, r=2, m=0, rp=0 ---------> 5.28959e-05
t=0, n=36, r=2, m=0, rp=0 ---------> -0.000139471
t=1, n=36, r=2, m=0, rp=0 ---------> 8.97348e-05
t=0, n=37, r=2, m=0, rp=0 ---------> -6.65319e-05
t=1, n=37, r=2, m=0, rp=0 ---------> 0.000139832
t=0, n=38, r=2, m=0, rp=0 ---------> -0.000240417
t=1, n=38, r=2, m=0, rp=0 ---------> 0.000100377
t=0, n=39, r=2, m=0, rp=0 ---------> -2.7663e-05
t=1, n=39, r=2, m=0, rp=0 ---------> 0.000153394
t=0, n=40, r=2, m=0, rp=0 ---------> -5.6548e-05
t=1, n=40, r=2, m=0, rp=0 ---------> 1.14986e-05
t=0, n=41, r=2, m=0, rp=0 ---------> -5.73045e-05
t=1, n=41, r=2, m=0, rp=0 ---------> 0.000214201
t=0, n=42, r=2, m=0, rp=0 ---------> -3.78572e-05
t=1, n=42, r=2, m=0, rp=0 ---------> 0.000169358
t=0, n=43, r=2, m=0, rp=0 ---------> -0.000153557
t=1, n=43, r=2, m=0, rp=0 ---------> -8.6478e-06
t=0, n=44, r=2, m=0, rp=0 ---------> 7.98388e-06
t=1, n=44, r=2, m=0, rp=0 ---------> 2.53841e-05
t=0, n=0, r=3, m=0, rp=0 ---------> -0.00509136
t=1, n=0, r=3, m=0, rp=0 ---------> -0.0015892
t=0, n=1, r=3, m=0, rp=0 ---------> -0.00109745
t=1, n=1, r=3, m=0, rp=0 ---------> -0.00181337
t=0, n=2, r=3, m=0, rp=0 ---------> -0.00182268
t=1, n=2, r=3, m=0, rp=0 ---------> -0.00326241
t=0, n=3, r=3, m=0, rp=0 ---------> -0.00209267
t=1, n=3, r=3, m=0, rp=0 ---------> -0.00242843
t=0, n=4, r=3, m=0, rp=0 ---------> -0.00286273
t=1, n=4, r=3, m=0, rp=0 ---------> -0.00123726
t=0, n=5, r=3, m=0, rp=0 ---------> -0.00330975
t=1, n=5, r=3, m=0, rp=0 ---------> -0.00155687
t=0, n=6, r=3, m=0, rp=0 ---------> -0.00316839
t=1, n=6, r=3, m=0, rp=0 ---------> -0.000676222
t=0, n=7, r=3, m=0, rp=0 ---------> -0.00161596
t=1, n=7, r=3, m=0, rp=0 ---------> 0.000309152
t=0, n=8, r=3, m=0, rp=0 ---------> -0.00229748
t=1, n=8, r=3, m=0, rp=0 ---------> -0.00357365
t=0, n=9, r=3, m=0, rp=0 ---------> -0.00389353
t=1, n=9, r=3, m=0, rp=0 ---------> -0.00190355
t=0, n=10, r=3, m=0, rp=0 ---------> -0.00202394
t=1, n=10, r=3, m=0, rp=0 ---------> -0.000266226
t=0, n=11, r=3, m=0, rp=0 ---------> -0.00296252
t=1, n=11, r=3, m=0, rp=0 ---------> -0.00155115
t=0, n=12, r=3, m=0, rp=0 ---------> -0.00178734
t=1, n=12, r=3, m=0, rp=0 ---------> -0.00152079
t=0, n=13, r=3, m=0, rp=0 ---------> -0.0024061
t=1, n=13, r=3, m=0, rp=0 ---------> -0.000194292
t=0, n=14, r=3, m=0, rp=0 ---------> -0.00139293
t=1, n=14, r=3, m=0, rp=0 ---------> -0.00264703
t=0, n=15, r=3, m=0, rp=0 ---------> -0.00418167
t=1, n=15, r=3, m=0, rp=0 ---------> -0.00362802
t=0, n=16, r=3, m=0, rp=0 ---------> -0.00203776
t=1, n=16, r=3, m=0, rp=0 ---------> -0.00209165
t=0, n=17, r=3, m=0, rp=0 ---------> -0.000498815
t=1, n=17, r=3, m=0, rp=0 ---------> -0.00291126
t=0, n=18, r=3, m=0, rp=0 ---------> -0.00251404
t=1, n=18, r=3, m=0, rp=0 ---------> -0.00131532
t=0, n=19, r=3, m=0, rp=0 ---------> -0.00194559
t=1, n=19, r=3, m=0, rp=0 ---------> 0.000456917
t=0, n=20, r=3, m=0, rp=0 ---------> -0.00219039
t=1, n=20, r=3, m=0, rp=0 ---------> -0.00123104
t=0, n=21, r=3, m=0, rp=0 ---------> -0.0014034
t=1, n=21, r=3, m=0, rp=0 ---------> -0.00150302
t=0, n=22, r=3, m=0, rp=0 ---------> -0.00424892
t=1, n=22, r=3, m=0, rp=0 ---------> -0.000888431
t=0, n=23, r=3, m=0, rp=0 ---------> -0.000512469
t=1, n=23, r=3, m=0, rp=0 ---------> -0.00224374
t=0, n=24, r=3, m=0, rp=0 ---------> -0.0049825
t=1, n=24, r=3, m=0, rp=0 ---------> -0.00352919
t=0, n=25, r=3, m=0, rp=0 ---------> -0.00316704
t=1, n=25, r=3, m=0, rp=0 ---------> -0.00317018
t=0, n=26, r=3, m=0, rp=0 ---------> -0.00190792
t=1, n=26, r=3, m=0, rp=0 ---------> -0.00064258
t=0, n=27, r=3, m=0, rp=0 ---------> -0.00213577
t=1, n=27, r=3, m=0, rp=0 ---------> -0.00324805
t=0, n=28, r=3, m=0, rp=0 ---------> -0.00422703
t=1, n=28, r=3, m=0, rp=0 ---------> -0.0011928
t=0, n=29, r=3, m=0, rp=0 ---------> -0.00280738
t=1, n=29, r=3, m=0, rp=0 ---------> -0.00302941
t=0, n=30, r=3, m=0, rp=0 ---------> -0.00336617
t=1, n=30, r=3, m=0, rp=0 ---------> -0.0033629
t=0, n=31, r=3, m=0, rp=0 ---------> -0.00208379
t=1, n=31, r=3, m=0, rp=0 ---------> -0.00103085
t=0, n=32, r=3, m=0, rp=0 ---------> -0.00409304
t=1, n=32, r=3, m=0, rp=0 ---------> -0.0016344
t=0, n=33, r=3, m=0, rp=0 ---------> -0.000350521
t=1, n=33, r=3, m=0, rp=0 ---------> -0.00126808
t=0, n=34, r=3, m=0, rp=0 ---------> -0.00024913
t=1, n=34, r=3, m=0, rp=0 ---------> -0.00195453
t=0, n=35, r=3, m=0, rp=0 ---------> -0.000760855
t=1, n=35, r=3, m=0, rp=0 ---------> -0.000866449
t=0, n=36, r=3, m=0, rp=0 ---------> -0.00175954
t=1, n=36, r=3, m=0, rp=0 ---------> 0.000519578
t=0, n=37, r=3, m=0, rp=0 ---------> -0.00241176
t=1, n=37, r=3, m=0, rp=0 ---------> -0.00126798
t=0, n=38, r=3, m=0, rp=0 ---------> -0.00236076
t=1, n=38, r=3, m=0, rp=0 ---------> -0.000144678
t=0, n=39, r=3, m=0, rp=0 ---------> -0.00274342
t=1, n=39, r=3, m=0, rp=0 ---------> -0.00230622
t=0, n=40, r=3, m=0, rp=0 ---------> -0.00266929
t=1, n=40, r=3, m=0, rp=0 ---------> -0.00172879
t=0, n=41, r=3, m=0, rp=0 ---------> -0.00178906
t=1, n=41, r=3, m=0, rp=0 ---------> -0.000919032
t=0, n=42, r=3, m=0, rp=0 ---------> -0.00234024
t=1, n=42, r=3, m=0, rp=0 ---------> -0.00202757
t=0, n=43, r=3, m=0, rp=0 ---------> -0.000742501
t=1, n=43, r=3, m=0, rp=0 ---------> -0.00071064
t=0, n=44, r=3, m=0, rp=0 ---------> -0.0024268
t=1, n=44, r=3, m=0, rp=0 ---------> 0.000331528
t=0, n=0, r=0, m=1, rp=0 ---------> -0.000320127
t=1, n=0, r=0, m=1, rp=0 ---------> -0.000300239
t=0, n=1, r=0, m=1, rp=0 ---------> -0.000167244
t=1, n=1, r=0, m=1, rp=0 ---------> -4.60274e-05
