t=1, n=5, r=3, m=0, rp=0 ---------> 6.21949e+11
t=0, n=6, r=3, m=0, rp=0 ---------> 4.54578e+11
t=1, n=6, r=3, m=0, rp=0 ---------> 1.09446e+12
t=0, n=7, r=3, m=0, rp=0 ---------> -3.33686e+11
t=1, n=7, r=3, m=0, rp=0 ---------> 9.08319e+11
t=0, n=8, r=3, m=0, rp=0 ---------> -3.40154e+11
t=1, n=8, r=3, m=0, rp=0 ---------> 1.11443e+12
t=0, n=9, r=3, m=0, rp=0 ---------> 3.53032e+11
t=1, n=9, r=3, m=0, rp=0 ---------> 1.66936e+12
t=0, n=10, r=3, m=0, rp=0 ---------> -1.68555e+11
t=1, n=10, r=3, m=0, rp=0 ---------> 3.82326e+11
t=0, n=11, r=3, m=0, rp=0 ---------> -5.20826e+11
t=1, n=11, r=3, m=0, rp=0 ---------> 6.16911e+11
t=0, n=12, r=3, m=0, rp=0 ---------> -5.34481e+11
t=1, n=12, r=3, m=0, rp=0 ---------> 4.5531e+11
t=0, n=13, r=3, m=0, rp=0 ---------> 5.37916e+10
t=1, n=13, r=3, m=0, rp=0 ---------> 9.64477e+11
t=0, n=14, r=3, m=0, rp=0 ---------> -2.14709e+11
t=1, n=14, r=3, m=0, rp=0 ---------> 9.96136e+11
t=0, n=15, r=3, m=0, rp=0 ---------> 1.13372e+11
t=1, n=15, r=3, m=0, rp=0 ---------> 7.45169e+11
t=0, n=16, r=3, m=0, rp=0 ---------> -1.9344e+11
t=1, n=16, r=3, m=0, rp=0 ---------> 9.05101e+10
t=0, n=17, r=3, m=0, rp=0 ---------> -1.11751e+12
t=1, n=17, r=3, m=0, rp=0 ---------> 9.24998e+11
t=0, n=18, r=3, m=0, rp=0 ---------> -7.31046e+10
t=1, n=18, r=3, m=0, rp=0 ---------> 7.42624e+11
t=0, n=19, r=3, m=0, rp=0 ---------> 1.99634e+11
t=1, n=19, r=3, m=0, rp=0 ---------> 3.01653e+11
t=0, n=20, r=3, m=0, rp=0 ---------> -4.37609e+11
t=1, n=20, r=3, m=0, rp=0 ---------> 5.33691e+11
t=0, n=21, r=3, m=0, rp=0 ---------> -4.1676e+11
t=1, n=21, r=3, m=0, rp=0 ---------> 1.18701e+07
t=0, n=22, r=3, m=0, rp=0 ---------> -8.09703e+11
t=1, n=22, r=3, m=0, rp=0 ---------> 1.09206e+12
t=0, n=23, r=3, m=0, rp=0 ---------> -9.01742e+11
t=1, n=23, r=3, m=0, rp=0 ---------> 5.7147e+11
t=0, n=24, r=3, m=0, rp=0 ---------> -2.53254e+11
t=1, n=24, r=3, m=0, rp=0 ---------> 1.18193e+12
t=0, n=25, r=3, m=0, rp=0 ---------> -3.71336e+11
t=1, n=25, r=3, m=0, rp=0 ---------> 1.21344e+12
t=0, n=26, r=3, m=0, rp=0 ---------> -7.50752e+11
t=1, n=26, r=3, m=0, rp=0 ---------> 5.33391e+11
t=0, n=27, r=3, m=0, rp=0 ---------> -3.90572e+11
t=1, n=27, r=3, m=0, rp=0 ---------> 7.5572e+11
t=0, n=28, r=3, m=0, rp=0 ---------> 3.96114e+11
t=1, n=28, r=3, m=0, rp=0 ---------> 9.07062e+11
t=0, n=29, r=3, m=0, rp=0 ---------> -3.41677e+11
t=1, n=29, r=3, m=0, rp=0 ---------> 3.56561e+11
t=0, n=30, r=3, m=0, rp=0 ---------> 5.7968e+11
t=1, n=30, r=3, m=0, rp=0 ---------> 1.15451e+12
t=0, n=31, r=3, m=0, rp=0 ---------> -2.94062e+11
t=1, n=31, r=3, m=0, rp=0 ---------> 2.93786e+11
t=0, n=32, r=3, m=0, rp=0 ---------> 7.72359e+11
t=1, n=32, r=3, m=0, rp=0 ---------> 8.34507e+11
t=0, n=33, r=3, m=0, rp=0 ---------> -3.00215e+11
t=1, n=33, r=3, m=0, rp=0 ---------> 3.36738e+11
t=0, n=34, r=3, m=0, rp=0 ---------> -1.13501e+12
t=1, n=34, r=3, m=0, rp=0 ---------> 1.10965e+12
t=0, n=35, r=3, m=0, rp=0 ---------> -1.90192e+11
t=1, n=35, r=3, m=0, rp=0 ---------> 6.23467e+11
t=0, n=36, r=3, m=0, rp=0 ---------> 9.24736e+10
t=1, n=36, r=3, m=0, rp=0 ---------> 5.91881e+11
t=0, n=37, r=3, m=0, rp=0 ---------> 3.37832e+11
t=1, n=37, r=3, m=0, rp=0 ---------> 8.35609e+11
t=0, n=38, r=3, m=0, rp=0 ---------> -6.20876e+10
t=1, n=38, r=3, m=0, rp=0 ---------> 8.81038e+11
t=0, n=39, r=3, m=0, rp=0 ---------> 3.62003e+11
t=1, n=39, r=3, m=0, rp=0 ---------> 1.00222e+12
t=0, n=40, r=3, m=0, rp=0 ---------> 3.85854e+11
t=1, n=40, r=3, m=0, rp=0 ---------> 9.8136e+11
t=0, n=41, r=3, m=0, rp=0 ---------> -5.90106e+10
t=1, n=41, r=3, m=0, rp=0 ---------> 2.16852e+11
t=0, n=42, r=3, m=0, rp=0 ---------> -5.06903e+11
t=1, n=42, r=3, m=0, rp=0 ---------> 4.47797e+11
t=0, n=43, r=3, m=0, rp=0 ---------> -3.57947e+11
t=1, n=43, r=3, m=0, rp=0 ---------> 4.44136e+11
t=0, n=44, r=3, m=0, rp=0 ---------> 1.50827e+11
t=1, n=44, r=3, m=0, rp=0 ---------> 1.65962e+10
t=0, n=45, r=3, m=0, rp=0 ---------> 2.84811e+10
t=1, n=45, r=3, m=0, rp=0 ---------> -4.97019e+10
t=0, n=0, r=0, m=1, rp=0 ---------> 1.21495e+12
t=1, n=0, r=0, m=1, rp=0 ---------> 6.41927e+11
t=0, n=1, r=0, m=1, rp=0 ---------> 5.23823e+11
t=1, n=1, r=0, m=1, rp=0 ---------> 5.02956e+11
t=0, n=2, r=0, m=1, rp=0 ---------> -2.25213e+11
t=1, n=2, r=0, m=1, rp=0 ---------> 3.21971e+11
t=0, n=3, r=0, m=1, rp=0 ---------> 6.53733e+11
t=1, n=3, r=0, m=1, rp=0 ---------> 5.32069e+11
t=0, n=4, r=0, m=1, rp=0 ---------> 7.56196e+11
t=1, n=4, r=0, m=1, rp=0 ---------> 4.50197e+11
t=0, n=5, r=0, m=1, rp=0 ---------> 8.025e+11
t=1, n=5, r=0, m=1, rp=0 ---------> 5.14515e+11
t=0, n=6, r=0, m=1, rp=0 ---------> 6.95204e+11
t=1, n=6, r=0, m=1, rp=0 ---------> 3.23331e+11
t=0, n=7, r=0, m=1, rp=0 ---------> 7.95436e+11
t=1, n=7, r=0, m=1, rp=0 ---------> 4.30251e+11
t=0, n=8, r=0, m=1, rp=0 ---------> 3.73148e+11
t=1, n=8, r=0, m=1, rp=0 ---------> 5.00675e+11
t=0, n=9, r=0, m=1, rp=0 ---------> 4.45909e+11
t=1, n=9, r=0, m=1, rp=0 ---------> 6.12698e+11
t=0, n=10, r=0, m=1, rp=0 ---------> 4.54598e+11
t=1, n=10, r=0, m=1, rp=0 ---------> 3.07084e+11
t=0, n=11, r=0, m=1, rp=0 ---------> 6.91231e+11
t=1, n=11, r=0, m=1, rp=0 ---------> 4.5466e+11
t=0, n=12, r=0, m=1, rp=0 ---------> 6.54672e+11
t=1, n=12, r=0, m=1, rp=0 ---------> 3.78769e+11
t=0, n=13, r=0, m=1, rp=0 ---------> 5.67262e+11
t=1, n=13, r=0, m=1, rp=0 ---------> 4.90076e+11
t=0, n=14, r=0, m=1, rp=0 ---------> -2.35217e+11
t=1, n=14, r=0, m=1, rp=0 ---------> 4.32948e+11
t=0, n=15, r=0, m=1, rp=0 ---------> 5.70517e+11
t=1, n=15, r=0, m=1, rp=0 ---------> 4.13716e+11
t=0, n=16, r=0, m=1, rp=0 ---------> 5.69459e+11
t=1, n=16, r=0, m=1, rp=0 ---------> 2.49095e+11
t=0, n=17, r=0, m=1, rp=0 ---------> 4.29732e+11
t=1, n=17, r=0, m=1, rp=0 ---------> 6.71012e+11
t=0, n=18, r=0, m=1, rp=0 ---------> 5.6705e+11
t=1, n=18, r=0, m=1, rp=0 ---------> 3.44557e+11
t=0, n=19, r=0, m=1, rp=0 ---------> 2.95821e+11
t=1, n=19, r=0, m=1, rp=0 ---------> 1.01004e+11
t=0, n=20, r=0, m=1, rp=0 ---------> 6.1645e+11
t=1, n=20, r=0, m=1, rp=0 ---------> 4.13575e+11
t=0, n=21, r=0, m=1, rp=0 ---------> 2.86577e+11
