t=1, n=39, r=3, m=12, rp=3 ---------> -4.17815e+11
t=0, n=40, r=3, m=12, rp=3 ---------> 6.46321e+11
t=1, n=40, r=3, m=12, rp=3 ---------> -1.35976e+11
t=0, n=41, r=3, m=12, rp=3 ---------> 5.82693e+11
t=1, n=41, r=3, m=12, rp=3 ---------> -4.01645e+11
t=0, n=42, r=3, m=12, rp=3 ---------> 6.40001e+11
t=1, n=42, r=3, m=12, rp=3 ---------> -3.58173e+11
t=0, n=43, r=3, m=12, rp=3 ---------> 3.71387e+11
t=1, n=43, r=3, m=12, rp=3 ---------> -9.634e+09
t=0, n=44, r=3, m=12, rp=3 ---------> 3.79561e+10
t=1, n=44, r=3, m=12, rp=3 ---------> -5.90376e+10
t=0, n=45, r=3, m=12, rp=3 ---------> 1.80978e+10
t=1, n=45, r=3, m=12, rp=3 ---------> -3.98187e+10
t=0, n=0, r=0, m=13, rp=3 ---------> -3.6505e+10
t=1, n=0, r=0, m=13, rp=3 ---------> 1.37481e+12
t=0, n=1, r=0, m=13, rp=3 ---------> -9.62897e+10
t=1, n=1, r=0, m=13, rp=3 ---------> 4.57593e+11
t=0, n=2, r=0, m=13, rp=3 ---------> -2.2717e+11
t=1, n=2, r=0, m=13, rp=3 ---------> 4.65281e+11
t=0, n=3, r=0, m=13, rp=3 ---------> -2.80412e+11
t=1, n=3, r=0, m=13, rp=3 ---------> 8.81723e+11
t=0, n=4, r=0, m=13, rp=3 ---------> 3.77631e+11
t=1, n=4, r=0, m=13, rp=3 ---------> 9.21728e+11
t=0, n=5, r=0, m=13, rp=3 ---------> -3.17939e+11
t=1, n=5, r=0, m=13, rp=3 ---------> 1.22631e+12
t=0, n=6, r=0, m=13, rp=3 ---------> -5.53391e+11
t=1, n=6, r=0, m=13, rp=3 ---------> 6.45244e+11
t=0, n=7, r=0, m=13, rp=3 ---------> -7.24621e+10
t=1, n=7, r=0, m=13, rp=3 ---------> 5.78628e+11
t=0, n=8, r=0, m=13, rp=3 ---------> -2.42496e+11
t=1, n=8, r=0, m=13, rp=3 ---------> 1.00589e+12
t=0, n=9, r=0, m=13, rp=3 ---------> -4.05864e+11
t=1, n=9, r=0, m=13, rp=3 ---------> 7.88181e+11
t=0, n=10, r=0, m=13, rp=3 ---------> -3.76948e+11
t=1, n=10, r=0, m=13, rp=3 ---------> 4.18954e+11
t=0, n=11, r=0, m=13, rp=3 ---------> -1.39232e+11
t=1, n=11, r=0, m=13, rp=3 ---------> 1.17376e+12
t=0, n=12, r=0, m=13, rp=3 ---------> 3.02377e+10
t=1, n=12, r=0, m=13, rp=3 ---------> 4.78497e+11
t=0, n=13, r=0, m=13, rp=3 ---------> -4.77127e+11
t=1, n=13, r=0, m=13, rp=3 ---------> 4.66024e+11
t=0, n=14, r=0, m=13, rp=3 ---------> -4.79283e+11
t=1, n=14, r=0, m=13, rp=3 ---------> 9.03356e+11
t=0, n=15, r=0, m=13, rp=3 ---------> 3.55232e+11
t=1, n=15, r=0, m=13, rp=3 ---------> 1.01255e+12
t=0, n=16, r=0, m=13, rp=3 ---------> 4.55807e+10
t=1, n=16, r=0, m=13, rp=3 ---------> 7.7014e+11
t=0, n=17, r=0, m=13, rp=3 ---------> 1.35104e+11
t=1, n=17, r=0, m=13, rp=3 ---------> 7.36172e+11
t=0, n=18, r=0, m=13, rp=3 ---------> 2.12599e+11
t=1, n=18, r=0, m=13, rp=3 ---------> 6.89622e+11
t=0, n=19, r=0, m=13, rp=3 ---------> 1.59258e+11
t=1, n=19, r=0, m=13, rp=3 ---------> 4.28526e+11
t=0, n=20, r=0, m=13, rp=3 ---------> -1.13148e+11
t=1, n=20, r=0, m=13, rp=3 ---------> 8.6432e+11
t=0, n=21, r=0, m=13, rp=3 ---------> -1.09441e+11
t=1, n=21, r=0, m=13, rp=3 ---------> 7.40641e+11
t=0, n=22, r=0, m=13, rp=3 ---------> -5.7452e+10
t=1, n=22, r=0, m=13, rp=3 ---------> 1.69239e+12
t=0, n=23, r=0, m=13, rp=3 ---------> -1.23048e+11
t=1, n=23, r=0, m=13, rp=3 ---------> 6.51967e+11
t=0, n=24, r=0, m=13, rp=3 ---------> 6.83714e+10
t=1, n=24, r=0, m=13, rp=3 ---------> 1.56515e+12
t=0, n=25, r=0, m=13, rp=3 ---------> -2.84712e+11
t=1, n=25, r=0, m=13, rp=3 ---------> 1.06184e+12
t=0, n=26, r=0, m=13, rp=3 ---------> -2.19929e+11
t=1, n=26, r=0, m=13, rp=3 ---------> 1.09597e+12
t=0, n=27, r=0, m=13, rp=3 ---------> 3.61047e+09
t=1, n=27, r=0, m=13, rp=3 ---------> 6.6916e+11
t=0, n=28, r=0, m=13, rp=3 ---------> -1.72332e+11
t=1, n=28, r=0, m=13, rp=3 ---------> 8.4703e+11
t=0, n=29, r=0, m=13, rp=3 ---------> 2.51722e+11
t=1, n=29, r=0, m=13, rp=3 ---------> 9.45706e+11
t=0, n=30, r=0, m=13, rp=3 ---------> 1.48349e+11
t=1, n=30, r=0, m=13, rp=3 ---------> 4.56625e+11
t=0, n=31, r=0, m=13, rp=3 ---------> -1.02726e+11
t=1, n=31, r=0, m=13, rp=3 ---------> 5.94969e+11
t=0, n=32, r=0, m=13, rp=3 ---------> 1.14031e+11
t=1, n=32, r=0, m=13, rp=3 ---------> 9.53379e+11
t=0, n=33, r=0, m=13, rp=3 ---------> -1.29792e+11
t=1, n=33, r=0, m=13, rp=3 ---------> 1.63214e+11
t=0, n=34, r=0, m=13, rp=3 ---------> 4.10031e+11
t=1, n=34, r=0, m=13, rp=3 ---------> 9.42994e+11
t=0, n=35, r=0, m=13, rp=3 ---------> -1.28735e+11
t=1, n=35, r=0, m=13, rp=3 ---------> 4.60972e+11
t=0, n=36, r=0, m=13, rp=3 ---------> 1.44465e+11
t=1, n=36, r=0, m=13, rp=3 ---------> 6.08642e+11
t=0, n=37, r=0, m=13, rp=3 ---------> -5.8621e+11
t=1, n=37, r=0, m=13, rp=3 ---------> 1.14695e+12
t=0, n=38, r=0, m=13, rp=3 ---------> 8.21053e+09
t=1, n=38, r=0, m=13, rp=3 ---------> 7.54878e+11
t=0, n=39, r=0, m=13, rp=3 ---------> 1.23356e+11
t=1, n=39, r=0, m=13, rp=3 ---------> 8.03594e+11
t=0, n=40, r=0, m=13, rp=3 ---------> 1.31993e+11
t=1, n=40, r=0, m=13, rp=3 ---------> 3.66702e+11
t=0, n=41, r=0, m=13, rp=3 ---------> 7.2146e+10
t=1, n=41, r=0, m=13, rp=3 ---------> 5.64325e+11
t=0, n=42, r=0, m=13, rp=3 ---------> 8.17261e+10
t=1, n=42, r=0, m=13, rp=3 ---------> 1.0838e+12
t=0, n=43, r=0, m=13, rp=3 ---------> 7.28659e+10
t=1, n=43, r=0, m=13, rp=3 ---------> 4.22261e+11
t=0, n=44, r=0, m=13, rp=3 ---------> 7.83652e+10
t=1, n=44, r=0, m=13, rp=3 ---------> -5.0817e+10
t=0, n=45, r=0, m=13, rp=3 ---------> 6.38228e+10
t=1, n=45, r=0, m=13, rp=3 ---------> -2.96081e+09
t=0, n=0, r=1, m=13, rp=3 ---------> 1.88454e+10
t=1, n=0, r=1, m=13, rp=3 ---------> -1.76223e+10
t=0, n=1, r=1, m=13, rp=3 ---------> -2.7413e+11
t=1, n=1, r=1, m=13, rp=3 ---------> 5.60401e+11
t=0, n=2, r=1, m=13, rp=3 ---------> 7.02451e+10
t=1, n=2, r=1, m=13, rp=3 ---------> -1.37942e+11
t=0, n=3, r=1, m=13, rp=3 ---------> 1.51602e+11
t=1, n=3, r=1, m=13, rp=3 ---------> -2.2496e+10
t=0, n=4, r=1, m=13, rp=3 ---------> -1.18654e+11
t=1, n=4, r=1, m=13, rp=3 ---------> -6.89628e+09
t=0, n=5, r=1, m=13, rp=3 ---------> -2.74534e+11
t=1, n=5, r=1, m=13, rp=3 ---------> -7.68374e+11
t=0, n=6, r=1, m=13, rp=3 ---------> 1.99705e+11
t=1, n=6, r=1, m=13, rp=3 ---------> 5.76628e+11
t=0, n=7, r=1, m=13, rp=3 ---------> 6.97301e+10
t=1, n=7, r=1, m=13, rp=3 ---------> 4.60013e+11
t=0, n=8, r=1, m=13, rp=3 ---------> 1.32182e+11
t=1, n=8, r=1, m=13, rp=3 ---------> -4.1218e+11
t=0, n=9, r=1, m=13, rp=3 ---------> 1.0802e+11
t=1, n=9, r=1, m=13, rp=3 ---------> 6.58878e+11
t=0, n=10, r=1, m=13, rp=3 ---------> -6.55713e+10
t=1, n=10, r=1, m=13, rp=3 ---------> 1.68951e+10
t=0, n=11, r=1, m=13, rp=3 ---------> -4.21039e+11
t=1, n=11, r=1, m=13, rp=3 ---------> -5.01898e+11
t=0, n=12, r=1, m=13, rp=3 ---------> -1.3791e+11
t=1, n=12, r=1, m=13, rp=3 ---------> 1.17915e+11
t=0, n=13, r=1, m=13, rp=3 ---------> -3.51672e+10
t=1, n=13, r=1, m=13, rp=3 ---------> 7.68867e+11
t=0, n=14, r=1, m=13, rp=3 ---------> -2.10781e+11
t=1, n=14, r=1, m=13, rp=3 ---------> -4.41376e+11
t=0, n=15, r=1, m=13, rp=3 ---------> 4.39665e+11
t=1, n=15, r=1, m=13, rp=3 ---------> -7.50098e+11
t=0, n=16, r=1, m=13, rp=3 ---------> 9.84655e+10
t=1, n=16, r=1, m=13, rp=3 ---------> -6.26516e+11
t=0, n=17, r=1, m=13, rp=3 ---------> -6.452e+11
t=1, n=17, r=1, m=13, rp=3 ---------> 2.64407e+11
t=0, n=18, r=1, m=13, rp=3 ---------> -1.76282e+11
t=1, n=18, r=1, m=13, rp=3 ---------> 1.65997e+11
t=0, n=19, r=1, m=13, rp=3 ---------> 1.27165e+11
t=1, n=19, r=1, m=13, rp=3 ---------> -1.86321e+11
t=0, n=20, r=1, m=13, rp=3 ---------> -2.86752e+10
t=1, n=20, r=1, m=13, rp=3 ---------> -5.02983e+11
t=0, n=21, r=1, m=13, rp=3 ---------> -2.35857e+11
t=1, n=21, r=1, m=13, rp=3 ---------> -7.52836e+11
t=0, n=22, r=1, m=13, rp=3 ---------> -1.28999e+11
t=1, n=22, r=1, m=13, rp=3 ---------> -4.3426e+11
t=0, n=23, r=1, m=13, rp=3 ---------> -2.58646e+11
t=1, n=23, r=1, m=13, rp=3 ---------> 5.40832e+10
t=0, n=24, r=1, m=13, rp=3 ---------> 1.96629e+11
t=1, n=24, r=1, m=13, rp=3 ---------> -5.86733e+11
t=0, n=25, r=1, m=13, rp=3 ---------> 1.40961e+11
t=1, n=25, r=1, m=13, rp=3 ---------> -3.83443e+11
t=0, n=26, r=1, m=13, rp=3 ---------> -4.95422e+11
t=1, n=26, r=1, m=13, rp=3 ---------> -5.20853e+11
t=0, n=27, r=1, m=13, rp=3 ---------> 2.59654e+11
t=1, n=27, r=1, m=13, rp=3 ---------> -1.39069e+11
t=0, n=28, r=1, m=13, rp=3 ---------> 1.01808e+11
t=1, n=28, r=1, m=13, rp=3 ---------> 2.37645e+11
t=0, n=29, r=1, m=13, rp=3 ---------> -1.16756e+11
t=1, n=29, r=1, m=13, rp=3 ---------> -4.77502e+11
t=0, n=30, r=1, m=13, rp=3 ---------> 3.62353e+11
t=1, n=30, r=1, m=13, rp=3 ---------> 4.02858e+11
t=0, n=31, r=1, m=13, rp=3 ---------> -7.79769e+10
t=1, n=31, r=1, m=13, rp=3 ---------> -2.3512e+11
t=0, n=32, r=1, m=13, rp=3 ---------> 5.55013e+11
t=1, n=32, r=1, m=13, rp=3 ---------> -4.55985e+11
t=0, n=33, r=1, m=13, rp=3 ---------> -2.63751e+11
t=1, n=33, r=1, m=13, rp=3 ---------> 1.23546e+10
t=0, n=34, r=1, m=13, rp=3 ---------> -5.59433e+11
t=1, n=34, r=1, m=13, rp=3 ---------> 4.9734e+11
t=0, n=35, r=1, m=13, rp=3 ---------> -3.69031e+10
t=1, n=35, r=1, m=13, rp=3 ---------> 1.73558e+10
t=0, n=36, r=1, m=13, rp=3 ---------> 9.37022e+10
t=1, n=36, r=1, m=13, rp=3 ---------> 1.0733e+11
t=0, n=37, r=1, m=13, rp=3 ---------> -2.65195e+10
t=1, n=37, r=1, m=13, rp=3 ---------> -1.06347e+12
t=0, n=38, r=1, m=13, rp=3 ---------> 2.06725e+11
t=1, n=38, r=1, m=13, rp=3 ---------> 1.78612e+11
t=0, n=39, r=1, m=13, rp=3 ---------> 2.05242e+11
t=1, n=39, r=1, m=13, rp=3 ---------> -2.60575e+11
t=0, n=40, r=1, m=13, rp=3 ---------> 3.75188e+11
t=1, n=40, r=1, m=13, rp=3 ---------> 2.24896e+11
t=0, n=41, r=1, m=13, rp=3 ---------> 4.25e+11
t=1, n=41, r=1, m=13, rp=3 ---------> -1.01743e+11
t=0, n=42, r=1, m=13, rp=3 ---------> -1.03151e+11
t=1, n=42, r=1, m=13, rp=3 ---------> -3.29316e+11
t=0, n=43, r=1, m=13, rp=3 ---------> -2.59161e+10
t=1, n=43, r=1, m=13, rp=3 ---------> 2.96633e+11
t=0, n=44, r=1, m=13, rp=3 ---------> 5.54134e+10
t=1, n=44, r=1, m=13, rp=3 ---------> -1.73344e+10
t=0, n=45, r=1, m=13, rp=3 ---------> 2.54717e+10
t=1, n=45, r=1, m=13, rp=3 ---------> -4.07171e+10
t=0, n=0, r=2, m=13, rp=3 ---------> 2.35363e+12
t=1, n=0, r=2, m=13, rp=3 ---------> 6.03053e+11
t=0, n=1, r=2, m=13, rp=3 ---------> 1.54211e+12
t=1, n=1, r=2, m=13, rp=3 ---------> 4.00227e+10
t=0, n=2, r=2, m=13, rp=3 ---------> 6.41195e+11
t=1, n=2, r=2, m=13, rp=3 ---------> -4.17275e+10
t=0, n=3, r=2, m=13, rp=3 ---------> 1.35593e+12
t=1, n=3, r=2, m=13, rp=3 ---------> 6.85902e+11
t=0, n=4, r=2, m=13, rp=3 ---------> 1.37856e+12
t=1, n=4, r=2, m=13, rp=3 ---------> 2.36659e+11
t=0, n=5, r=2, m=13, rp=3 ---------> 1.66629e+12
t=1, n=5, r=2, m=13, rp=3 ---------> 1.51049e+12
t=0, n=6, r=2, m=13, rp=3 ---------> 1.36994e+12
t=1, n=6, r=2, m=13, rp=3 ---------> 4.12189e+11
t=0, n=7, r=2, m=13, rp=3 ---------> 1.393e+12
t=1, n=7, r=2, m=13, rp=3 ---------> 3.8593e+11
t=0, n=8, r=2, m=13, rp=3 ---------> 9.51146e+11
t=1, n=8, r=2, m=13, rp=3 ---------> 5.43036e+11
t=0, n=9, r=2, m=13, rp=3 ---------> 1.88306e+12
t=1, n=9, r=2, m=13, rp=3 ---------> -1.43332e+11
t=0, n=10, r=2, m=13, rp=3 ---------> 1.00002e+12
t=1, n=10, r=2, m=13, rp=3 ---------> 7.01579e+11
t=0, n=11, r=2, m=13, rp=3 ---------> 1.68275e+12
t=1, n=11, r=2, m=13, rp=3 ---------> 1.05689e+12
t=0, n=12, r=2, m=13, rp=3 ---------> 1.03587e+12
t=1, n=12, r=2, m=13, rp=3 ---------> 9.50008e+10
t=0, n=13, r=2, m=13, rp=3 ---------> 1.27314e+12
t=1, n=13, r=2, m=13, rp=3 ---------> 2.74091e+11
t=0, n=14, r=2, m=13, rp=3 ---------> 1.25834e+12
t=1, n=14, r=2, m=13, rp=3 ---------> 6.69423e+11
t=0, n=15, r=2, m=13, rp=3 ---------> 7.58667e+11
t=1, n=15, r=2, m=13, rp=3 ---------> -6.0214e+10
t=0, n=16, r=2, m=13, rp=3 ---------> 3.67643e+11
t=1, n=16, r=2, m=13, rp=3 ---------> 2.12309e+11
t=0, n=17, r=2, m=13, rp=3 ---------> 1.68623e+12
t=1, n=17, r=2, m=13, rp=3 ---------> -1.74309e+11
t=0, n=18, r=2, m=13, rp=3 ---------> 1.13621e+12
t=1, n=18, r=2, m=13, rp=3 ---------> -1.61296e+11
t=0, n=19, r=2, m=13, rp=3 ---------> 6.38986e+11
t=1, n=19, r=2, m=13, rp=3 ---------> 2.66723e+11
t=0, n=20, r=2, m=13, rp=3 ---------> 1.17048e+12
t=1, n=20, r=2, m=13, rp=3 ---------> 9.51282e+11
t=0, n=21, r=2, m=13, rp=3 ---------> 7.13067e+11
t=1, n=21, r=2, m=13, rp=3 ---------> 9.49115e+11
t=0, n=22, r=2, m=13, rp=3 ---------> 2.71817e+12
t=1, n=22, r=2, m=13, rp=3 ---------> 1.61423e+12
t=0, n=23, r=2, m=13, rp=3 ---------> 1.06934e+12
t=1, n=23, r=2, m=13, rp=3 ---------> 4.51923e+11
t=0, n=24, r=2, m=13, rp=3 ---------> 1.89039e+12
t=1, n=24, r=2, m=13, rp=3 ---------> 6.60671e+11
t=0, n=25, r=2, m=13, rp=3 ---------> 1.13551e+12
t=1, n=25, r=2, m=13, rp=3 ---------> 7.00038e+11
t=0, n=26, r=2, m=13, rp=3 ---------> 1.59709e+12
t=1, n=26, r=2, m=13, rp=3 ---------> 1.28861e+12
t=0, n=27, r=2, m=13, rp=3 ---------> 6.37592e+11
t=1, n=27, r=2, m=13, rp=3 ---------> -2.94766e+10
t=0, n=28, r=2, m=13, rp=3 ---------> 1.59185e+12
t=1, n=28, r=2, m=13, rp=3 ---------> 1.37039e+11
t=0, n=29, r=2, m=13, rp=3 ---------> 8.34725e+11
t=1, n=29, r=2, m=13, rp=3 ---------> 2.16639e+11
t=0, n=30, r=2, m=13, rp=3 ---------> 1.22231e+12
t=1, n=30, r=2, m=13, rp=3 ---------> -9.34781e+11
t=0, n=31, r=2, m=13, rp=3 ---------> 1.41074e+12
t=1, n=31, r=2, m=13, rp=3 ---------> 5.84966e+11
t=0, n=32, r=2, m=13, rp=3 ---------> 1.01406e+12
t=1, n=32, r=2, m=13, rp=3 ---------> 2.02683e+11
t=0, n=33, r=2, m=13, rp=3 ---------> 5.20334e+11
t=1, n=33, r=2, m=13, rp=3 ---------> 3.83061e+10
t=0, n=34, r=2, m=13, rp=3 ---------> 2.04591e+12
t=1, n=34, r=2, m=13, rp=3 ---------> -3.02736e+11
t=0, n=35, r=2, m=13, rp=3 ---------> 6.71916e+11
t=1, n=35, r=2, m=13, rp=3 ---------> 2.57229e+11
t=0, n=36, r=2, m=13, rp=3 ---------> 1.04802e+12
t=1, n=36, r=2, m=13, rp=3 ---------> 2.56808e+11
t=0, n=37, r=2, m=13, rp=3 ---------> 1.05655e+12
t=1, n=37, r=2, m=13, rp=3 ---------> 1.55563e+12
t=0, n=38, r=2, m=13, rp=3 ---------> 1.46306e+12
t=1, n=38, r=2, m=13, rp=3 ---------> 4.05718e+11
t=0, n=39, r=2, m=13, rp=3 ---------> 1.00117e+12
t=1, n=39, r=2, m=13, rp=3 ---------> 1.07123e+10
t=0, n=40, r=2, m=13, rp=3 ---------> 4.95048e+11
t=1, n=40, r=2, m=13, rp=3 ---------> -5.47268e+11
t=0, n=41, r=2, m=13, rp=3 ---------> 4.50471e+11
t=1, n=41, r=2, m=13, rp=3 ---------> 3.40755e+11
t=0, n=42, r=2, m=13, rp=3 ---------> 1.30635e+12
t=1, n=42, r=2, m=13, rp=3 ---------> 5.50886e+11
t=0, n=43, r=2, m=13, rp=3 ---------> 1.16827e+12
t=1, n=43, r=2, m=13, rp=3 ---------> -7.2713e+10
t=0, n=44, r=2, m=13, rp=3 ---------> 7.83652e+10
t=1, n=44, r=2, m=13, rp=3 ---------> -5.0817e+10
t=0, n=45, r=2, m=13, rp=3 ---------> 6.38228e+10
t=1, n=45, r=2, m=13, rp=3 ---------> -2.96081e+09
t=0, n=0, r=3, m=13, rp=3 ---------> 1.16539e+12
t=1, n=0, r=3, m=13, rp=3 ---------> -9.49213e+11
t=0, n=1, r=3, m=13, rp=3 ---------> -5.6722e+10
t=1, n=1, r=3, m=13, rp=3 ---------> -7.77796e+10
t=0, n=2, r=3, m=13, rp=3 ---------> 2.74153e+11
t=1, n=2, r=3, m=13, rp=3 ---------> -5.94882e+11
t=0, n=3, r=3, m=13, rp=3 ---------> 6.95612e+11
t=1, n=3, r=3, m=13, rp=3 ---------> -9.85857e+11
t=0, n=4, r=3, m=13, rp=3 ---------> 2.703e+11
t=1, n=4, r=3, m=13, rp=3 ---------> -3.14956e+11
t=0, n=5, r=3, m=13, rp=3 ---------> 5.86835e+11
t=1, n=5, r=3, m=13, rp=3 ---------> -1.12583e+12
t=0, n=6, r=3, m=13, rp=3 ---------> 4.33786e+11
t=1, n=6, r=3, m=13, rp=3 ---------> -3.79614e+11
t=0, n=7, r=3, m=13, rp=3 ---------> 3.22103e+11
t=1, n=7, r=3, m=13, rp=3 ---------> -4.61571e+11
t=0, n=8, r=3, m=13, rp=3 ---------> 9.32287e+11
t=1, n=8, r=3, m=13, rp=3 ---------> -1.31671e+12
t=0, n=9, r=3, m=13, rp=3 ---------> 6.37814e+11
t=1, n=9, r=3, m=13, rp=3 ---------> -3.64997e+10
t=0, n=10, r=3, m=13, rp=3 ---------> 1.1774e+11
t=1, n=10, r=3, m=13, rp=3 ---------> -5.28051e+11
t=0, n=11, r=3, m=13, rp=3 ---------> 2.35832e+11
t=1, n=11, r=3, m=13, rp=3 ---------> -7.56656e+11
t=0, n=12, r=3, m=13, rp=3 ---------> 2.9465e+11
t=1, n=12, r=3, m=13, rp=3 ---------> -3.47131e+11
t=0, n=13, r=3, m=13, rp=3 ---------> 5.77647e+10
t=1, n=13, r=3, m=13, rp=3 ---------> -1.89282e+11
t=0, n=14, r=3, m=13, rp=3 ---------> 4.58705e+11
t=1, n=14, r=3, m=13, rp=3 ---------> -7.4155e+11
t=0, n=15, r=3, m=13, rp=3 ---------> 1.31453e+12
t=1, n=15, r=3, m=13, rp=3 ---------> -1.06823e+12
t=0, n=16, r=3, m=13, rp=3 ---------> 1.06255e+12
t=1, n=16, r=3, m=13, rp=3 ---------> -5.57444e+11
t=0, n=17, r=3, m=13, rp=3 ---------> 5.08307e+10
t=1, n=17, r=3, m=13, rp=3 ---------> 1.59032e+11
t=0, n=18, r=3, m=13, rp=3 ---------> 3.32287e+11
t=1, n=18, r=3, m=13, rp=3 ---------> -2.36258e+11
t=0, n=19, r=3, m=13, rp=3 ---------> 2.40785e+11
t=1, n=19, r=3, m=13, rp=3 ---------> -3.10007e+11
t=0, n=20, r=3, m=13, rp=3 ---------> 6.31193e+11
t=1, n=20, r=3, m=13, rp=3 ---------> -9.75889e+11
t=0, n=21, r=3, m=13, rp=3 ---------> 3.92739e+11
t=1, n=21, r=3, m=13, rp=3 ---------> -8.6048e+11
t=0, n=22, r=3, m=13, rp=3 ---------> 9.31412e+11
t=1, n=22, r=3, m=13, rp=3 ---------> -1.28715e+12
t=0, n=23, r=3, m=13, rp=3 ---------> 2.02262e+11
t=1, n=23, r=3, m=13, rp=3 ---------> -5.78354e+11
t=0, n=24, r=3, m=13, rp=3 ---------> 1.52664e+12
t=1, n=24, r=3, m=13, rp=3 ---------> -1.28926e+12
t=0, n=25, r=3, m=13, rp=3 ---------> 1.00649e+12
t=1, n=25, r=3, m=13, rp=3 ---------> -1.02766e+12
t=0, n=26, r=3, m=13, rp=3 ---------> 1.19268e+11
t=1, n=26, r=3, m=13, rp=3 ---------> -7.36067e+11
t=0, n=27, r=3, m=13, rp=3 ---------> 7.61149e+11
t=1, n=27, r=3, m=13, rp=3 ---------> -9.37082e+11
t=0, n=28, r=3, m=13, rp=3 ---------> 9.1546e+11
t=1, n=28, r=3, m=13, rp=3 ---------> -4.84272e+11
t=0, n=29, r=3, m=13, rp=3 ---------> 6.02205e+11
t=1, n=29, r=3, m=13, rp=3 ---------> -7.65824e+11
t=0, n=30, r=3, m=13, rp=3 ---------> 1.03214e+12
t=1, n=30, r=3, m=13, rp=3 ---------> -1.17988e+11
t=0, n=31, r=3, m=13, rp=3 ---------> 2.1559e+11
t=1, n=31, r=3, m=13, rp=3 ---------> -2.15165e+11
t=0, n=32, r=3, m=13, rp=3 ---------> 1.05968e+12
t=1, n=32, r=3, m=13, rp=3 ---------> -9.59527e+11
t=0, n=33, r=3, m=13, rp=3 ---------> -1.54357e+11
t=1, n=33, r=3, m=13, rp=3 ---------> 3.24372e+10
t=0, n=34, r=3, m=13, rp=3 ---------> 2.62722e+10
t=1, n=34, r=3, m=13, rp=3 ---------> 5.03283e+11
t=0, n=35, r=3, m=13, rp=3 ---------> 2.57143e+11
t=1, n=35, r=3, m=13, rp=3 ---------> -3.32016e+11
t=0, n=36, r=3, m=13, rp=3 ---------> 3.50183e+11
t=1, n=36, r=3, m=13, rp=3 ---------> -2.70575e+11
t=0, n=37, r=3, m=13, rp=3 ---------> 6.84458e+11
t=1, n=37, r=3, m=13, rp=3 ---------> -1.37462e+12
t=0, n=38, r=3, m=13, rp=3 ---------> 3.22039e+11
t=1, n=38, r=3, m=13, rp=3 ---------> -5.80245e+11
t=0, n=39, r=3, m=13, rp=3 ---------> 6.18518e+11
t=1, n=39, r=3, m=13, rp=3 ---------> -8.52808e+11
t=0, n=40, r=3, m=13, rp=3 ---------> 6.91513e+11
t=1, n=40, r=3, m=13, rp=3 ---------> -2.81855e+11
t=0, n=41, r=3, m=13, rp=3 ---------> 6.55672e+11
t=1, n=41, r=3, m=13, rp=3 ---------> -7.3884e+11
t=0, n=42, r=3, m=13, rp=3 ---------> 6.64635e+11
t=1, n=42, r=3, m=13, rp=3 ---------> -5.91162e+11
t=0, n=43, r=3, m=13, rp=3 ---------> 2.74864e+11
t=1, n=43, r=3, m=13, rp=3 ---------> 5.40173e+10
t=0, n=44, r=3, m=13, rp=3 ---------> -6.89823e+10
t=1, n=44, r=3, m=13, rp=3 ---------> -8.05415e+10
t=0, n=45, r=3, m=13, rp=3 ---------> -3.95947e+10
t=1, n=45, r=3, m=13, rp=3 ---------> -2.88635e+10
t=0, n=0, r=0, m=14, rp=3 ---------> -3.87066e+10
t=1, n=0, r=0, m=14, rp=3 ---------> 2.86293e+11
t=0, n=1, r=0, m=14, rp=3 ---------> -2.87501e+11
t=1, n=1, r=0, m=14, rp=3 ---------> 3.29276e+11
t=0, n=2, r=0, m=14, rp=3 ---------> -3.90375e+11
t=1, n=2, r=0, m=14, rp=3 ---------> 3.85632e+11
t=0, n=3, r=0, m=14, rp=3 ---------> -2.69179e+11
t=1, n=3, r=0, m=14, rp=3 ---------> 6.76151e+11
t=0, n=4, r=0, m=14, rp=3 ---------> 2.03944e+11
t=1, n=4, r=0, m=14, rp=3 ---------> 3.53855e+11
t=0, n=5, r=0, m=14, rp=3 ---------> -1.16224e+11
t=1, n=5, r=0, m=14, rp=3 ---------> 7.08875e+11
t=0, n=6, r=0, m=14, rp=3 ---------> -4.83248e+11
t=1, n=6, r=0, m=14, rp=3 ---------> 3.99073e+10
t=0, n=7, r=0, m=14, rp=3 ---------> -1.86048e+10
t=1, n=7, r=0, m=14, rp=3 ---------> 1.48535e+11
t=0, n=8, r=0, m=14, rp=3 ---------> -3.6679e+11
t=1, n=8, r=0, m=14, rp=3 ---------> 8.21759e+11
t=0, n=9, r=0, m=14, rp=3 ---------> -5.37034e+11
t=1, n=9, r=0, m=14, rp=3 ---------> -3.34624e+09
t=0, n=10, r=0, m=14, rp=3 ---------> -2.38348e+11
t=1, n=10, r=0, m=14, rp=3 ---------> 1.541e+11
t=0, n=11, r=0, m=14, rp=3 ---------> -3.84712e+10
t=1, n=11, r=0, m=14, rp=3 ---------> 5.35835e+11
t=0, n=12, r=0, m=14, rp=3 ---------> -3.55858e+10
t=1, n=12, r=0, m=14, rp=3 ---------> 2.84563e+11
t=0, n=13, r=0, m=14, rp=3 ---------> -4.39623e+11
t=1, n=13, r=0, m=14, rp=3 ---------> 4.57074e+09
t=0, n=14, r=0, m=14, rp=3 ---------> -7.02664e+11
t=1, n=14, r=0, m=14, rp=3 ---------> 6.23226e+11
