t=0, n=37, r=3, m=0, rp=0 ---------> -0.000794357
t=1, n=37, r=3, m=0, rp=0 ---------> 0.000848197
t=0, n=38, r=3, m=0, rp=0 ---------> -0.00153851
t=1, n=38, r=3, m=0, rp=0 ---------> 0.000944842
t=0, n=39, r=3, m=0, rp=0 ---------> -0.00223795
t=1, n=39, r=3, m=0, rp=0 ---------> 0.000750479
t=0, n=40, r=3, m=0, rp=0 ---------> -0.000532003
t=1, n=40, r=3, m=0, rp=0 ---------> 0.00123464
t=0, n=41, r=3, m=0, rp=0 ---------> -0.000122566
t=1, n=41, r=3, m=0, rp=0 ---------> 0.0014189
t=0, n=42, r=3, m=0, rp=0 ---------> -0.00144165
t=1, n=42, r=3, m=0, rp=0 ---------> 0.00237641
t=0, n=43, r=3, m=0, rp=0 ---------> -0.00140176
t=1, n=43, r=3, m=0, rp=0 ---------> 0.00126613
t=0, n=44, r=3, m=0, rp=0 ---------> 0.000237477
t=1, n=44, r=3, m=0, rp=0 ---------> 0.000209127
t=0, n=0, r=0, m=1, rp=0 ---------> 0.000115524
t=1, n=0, r=0, m=1, rp=0 ---------> -0.000258653
t=0, n=1, r=0, m=1, rp=0 ---------> -0.000185228
t=1, n=1, r=0, m=1, rp=0 ---------> -0.000321594
t=0, n=2, r=0, m=1, rp=0 ---------> -0.000131401
t=1, n=2, r=0, m=1, rp=0 ---------> -0.000207216
t=0, n=3, r=0, m=1, rp=0 ---------> -6.92126e-05
t=1, n=3, r=0, m=1, rp=0 ---------> -0.00026621
t=0, n=4, r=0, m=1, rp=0 ---------> -1.56409e-05
t=1, n=4, r=0, m=1, rp=0 ---------> -0.000154027
t=0, n=5, r=0, m=1, rp=0 ---------> 8.48116e-05
t=1, n=5, r=0, m=1, rp=0 ---------> -0.000293521
t=0, n=6, r=0, m=1, rp=0 ---------> 8.10998e-05
t=1, n=6, r=0, m=1, rp=0 ---------> -0.00013693
t=0, n=7, r=0, m=1, rp=0 ---------> 1.10175e-06
t=1, n=7, r=0, m=1, rp=0 ---------> -0.000161793
t=0, n=8, r=0, m=1, rp=0 ---------> -8.08339e-05
t=1, n=8, r=0, m=1, rp=0 ---------> -0.000273633
t=0, n=9, r=0, m=1, rp=0 ---------> 5.82053e-06
t=1, n=9, r=0, m=1, rp=0 ---------> -0.000271843
t=0, n=10, r=0, m=1, rp=0 ---------> 2.81523e-05
t=1, n=10, r=0, m=1, rp=0 ---------> -0.000170713
t=0, n=11, r=0, m=1, rp=0 ---------> 3.92871e-05
t=1, n=11, r=0, m=1, rp=0 ---------> -0.000279787
t=0, n=12, r=0, m=1, rp=0 ---------> -3.36634e-05
t=1, n=12, r=0, m=1, rp=0 ---------> -0.000143701
t=0, n=13, r=0, m=1, rp=0 ---------> -1.45244e-05
t=1, n=13, r=0, m=1, rp=0 ---------> -0.000179709
t=0, n=14, r=0, m=1, rp=0 ---------> -3.72373e-05
t=1, n=14, r=0, m=1, rp=0 ---------> -0.000157609
t=0, n=15, r=0, m=1, rp=0 ---------> -9.65218e-05
t=1, n=15, r=0, m=1, rp=0 ---------> -0.00014208
t=0, n=16, r=0, m=1, rp=0 ---------> -8.29948e-06
t=1, n=16, r=0, m=1, rp=0 ---------> -9.38205e-05
t=0, n=17, r=0, m=1, rp=0 ---------> -0.00017015
t=1, n=17, r=0, m=1, rp=0 ---------> -0.000381359
t=0, n=18, r=0, m=1, rp=0 ---------> 3.37132e-05
t=1, n=18, r=0, m=1, rp=0 ---------> -0.000212876
t=0, n=19, r=0, m=1, rp=0 ---------> 9.48077e-05
t=1, n=19, r=0, m=1, rp=0 ---------> 7.24662e-06
t=0, n=20, r=0, m=1, rp=0 ---------> 4.08222e-05
t=1, n=20, r=0, m=1, rp=0 ---------> -0.000152581
t=0, n=21, r=0, m=1, rp=0 ---------> 6.75879e-05
t=1, n=21, r=0, m=1, rp=0 ---------> -0.000128793
t=0, n=22, r=0, m=1, rp=0 ---------> 9.75777e-05
t=1, n=22, r=0, m=1, rp=0 ---------> -0.000280617
t=0, n=23, r=0, m=1, rp=0 ---------> -3.37588e-05
t=1, n=23, r=0, m=1, rp=0 ---------> -0.000259005
t=0, n=24, r=0, m=1, rp=0 ---------> 3.04552e-05
t=1, n=24, r=0, m=1, rp=0 ---------> -0.000232944
t=0, n=25, r=0, m=1, rp=0 ---------> -1.05209e-05
t=1, n=25, r=0, m=1, rp=0 ---------> -0.000248279
t=0, n=26, r=0, m=1, rp=0 ---------> 6.70303e-05
t=1, n=26, r=0, m=1, rp=0 ---------> -0.000294967
t=0, n=27, r=0, m=1, rp=0 ---------> -7.71112e-05
t=1, n=27, r=0, m=1, rp=0 ---------> -0.000120386
t=0, n=28, r=0, m=1, rp=0 ---------> 0.000147382
t=1, n=28, r=0, m=1, rp=0 ---------> -0.000154923
t=0, n=29, r=0, m=1, rp=0 ---------> -9.6322e-07
t=1, n=29, r=0, m=1, rp=0 ---------> -0.000138627
t=0, n=30, r=0, m=1, rp=0 ---------> -3.94303e-05
t=1, n=30, r=0, m=1, rp=0 ---------> -0.000223172
t=0, n=31, r=0, m=1, rp=0 ---------> 3.90687e-05
t=1, n=31, r=0, m=1, rp=0 ---------> 1.07056e-05
t=0, n=32, r=0, m=1, rp=0 ---------> 2.77448e-05
t=1, n=32, r=0, m=1, rp=0 ---------> -3.00421e-05
