t=0, n=41, m=3, rp=0 ---------> 1.04784e-309
t=1, n=41, m=3, rp=0 ---------> 0
t=0, n=42, m=3, rp=0 ---------> 1.04784e-309
t=1, n=42, m=3, rp=0 ---------> 0
t=0, n=43, m=3, rp=0 ---------> 1.04784e-309
t=1, n=43, m=3, rp=0 ---------> 0
t=0, n=44, m=3, rp=0 ---------> -1.73401e+10
t=1, n=44, m=3, rp=0 ---------> -8.7135e+09
t=0, n=45, m=3, rp=0 ---------> -3.45499e+10
t=1, n=45, m=3, rp=0 ---------> -3.46766e+10
t=0, n=0, m=4, rp=0 ---------> 1.04784e-309
t=1, n=0, m=4, rp=0 ---------> 0
t=0, n=1, m=4, rp=0 ---------> 1.04784e-309
t=1, n=1, m=4, rp=0 ---------> 0
t=0, n=2, m=4, rp=0 ---------> 1.04784e-309
t=1, n=2, m=4, rp=0 ---------> 0
t=0, n=3, m=4, rp=0 ---------> 1.04784e-309
t=1, n=3, m=4, rp=0 ---------> 0
t=0, n=4, m=4, rp=0 ---------> 1.04784e-309
t=1, n=4, m=4, rp=0 ---------> 0
t=0, n=5, m=4, rp=0 ---------> 1.04784e-309
t=1, n=5, m=4, rp=0 ---------> 0
t=0, n=6, m=4, rp=0 ---------> 1.04784e-309
t=1, n=6, m=4, rp=0 ---------> 0
t=0, n=7, m=4, rp=0 ---------> 1.04784e-309
t=1, n=7, m=4, rp=0 ---------> 0
t=0, n=8, m=4, rp=0 ---------> 1.04784e-309
t=1, n=8, m=4, rp=0 ---------> 0
t=0, n=9, m=4, rp=0 ---------> 1.04784e-309
t=1, n=9, m=4, rp=0 ---------> 0
t=0, n=10, m=4, rp=0 ---------> 1.04784e-309
t=1, n=10, m=4, rp=0 ---------> 0
t=0, n=11, m=4, rp=0 ---------> 1.04784e-309
t=1, n=11, m=4, rp=0 ---------> 0
t=0, n=12, m=4, rp=0 ---------> 1.04784e-309
t=1, n=12, m=4, rp=0 ---------> 0
t=0, n=13, m=4, rp=0 ---------> 1.04784e-309
t=1, n=13, m=4, rp=0 ---------> 0
t=0, n=14, m=4, rp=0 ---------> 1.04784e-309
t=1, n=14, m=4, rp=0 ---------> 0
t=0, n=15, m=4, rp=0 ---------> 1.04784e-309
t=1, n=15, m=4, rp=0 ---------> 0
t=0, n=16, m=4, rp=0 ---------> 1.04784e-309
t=1, n=16, m=4, rp=0 ---------> 0
t=0, n=17, m=4, rp=0 ---------> 1.04784e-309
t=1, n=17, m=4, rp=0 ---------> 0
t=0, n=18, m=4, rp=0 ---------> 1.04784e-309
t=1, n=18, m=4, rp=0 ---------> 0
t=0, n=19, m=4, rp=0 ---------> 1.04784e-309
t=1, n=19, m=4, rp=0 ---------> 0
t=0, n=20, m=4, rp=0 ---------> 1.04784e-309
t=1, n=20, m=4, rp=0 ---------> 0
t=0, n=21, m=4, rp=0 ---------> 1.04784e-309
