t=1, n=17, m=2, rp=0 ---------> 4.98051e+11
t=0, n=18, m=2, rp=0 ---------> -2.9002e+11
t=1, n=18, m=2, rp=0 ---------> 4.77453e+10
t=0, n=19, m=2, rp=0 ---------> 2.00403e+11
t=1, n=19, m=2, rp=0 ---------> -3.88737e+10
t=0, n=20, m=2, rp=0 ---------> -1.92024e+11
t=1, n=20, m=2, rp=0 ---------> 2.8076e+11
t=0, n=21, m=2, rp=0 ---------> -2.9751e+11
t=1, n=21, m=2, rp=0 ---------> 1.44214e+11
t=0, n=22, m=2, rp=0 ---------> -1.03871e+11
t=1, n=22, m=2, rp=0 ---------> 6.41991e+11
t=0, n=23, m=2, rp=0 ---------> -5.56109e+11
t=1, n=23, m=2, rp=0 ---------> 3.91161e+11
t=0, n=24, m=2, rp=0 ---------> -4.78392e+11
t=1, n=24, m=2, rp=0 ---------> 2.23364e+11
t=0, n=25, m=2, rp=0 ---------> -5.27048e+11
t=1, n=25, m=2, rp=0 ---------> 1.30021e+11
t=0, n=26, m=2, rp=0 ---------> -3.79028e+11
t=1, n=26, m=2, rp=0 ---------> 4.05273e+11
t=0, n=27, m=2, rp=0 ---------> -2.83911e+11
t=1, n=27, m=2, rp=0 ---------> 1.33046e+11
t=0, n=28, m=2, rp=0 ---------> 4.30736e+10
t=1, n=28, m=2, rp=0 ---------> 3.15529e+11
t=0, n=29, m=2, rp=0 ---------> -4.78959e+11
t=1, n=29, m=2, rp=0 ---------> 1.98555e+11
t=0, n=30, m=2, rp=0 ---------> -1.98993e+11
t=1, n=30, m=2, rp=0 ---------> 1.71241e+11
t=0, n=31, m=2, rp=0 ---------> -6.61232e+10
t=1, n=31, m=2, rp=0 ---------> 1.91011e+11
t=0, n=32, m=2, rp=0 ---------> 5.0172e+10
t=1, n=32, m=2, rp=0 ---------> 6.30791e+10
t=0, n=33, m=2, rp=0 ---------> -3.43748e+11
t=1, n=33, m=2, rp=0 ---------> 6.66357e+10
t=0, n=34, m=2, rp=0 ---------> -6.02766e+11
t=1, n=34, m=2, rp=0 ---------> 4.16925e+11
t=0, n=35, m=2, rp=0 ---------> -2.25801e+11
t=1, n=35, m=2, rp=0 ---------> 7.52335e+10
t=0, n=36, m=2, rp=0 ---------> 1.59586e+11
t=1, n=36, m=2, rp=0 ---------> 1.10253e+11
t=0, n=37, m=2, rp=0 ---------> -5.20544e+11
t=1, n=37, m=2, rp=0 ---------> -9.80737e+10
t=0, n=38, m=2, rp=0 ---------> 1.19332e+11
t=1, n=38, m=2, rp=0 ---------> 2.92452e+11
t=0, n=39, m=2, rp=0 ---------> -1.79974e+11
t=1, n=39, m=2, rp=0 ---------> 1.23996e+10
t=0, n=40, m=2, rp=0 ---------> -1.16341e+11
t=1, n=40, m=2, rp=0 ---------> -9.96302e+10
t=0, n=41, m=2, rp=0 ---------> 5.84353e+10
t=1, n=41, m=2, rp=0 ---------> 2.69303e+11
t=0, n=42, m=2, rp=0 ---------> -3.19182e+11
t=1, n=42, m=2, rp=0 ---------> 4.65884e+11
t=0, n=43, m=2, rp=0 ---------> -2.07796e+10
t=1, n=43, m=2, rp=0 ---------> 3.76369e+11
t=0, n=44, m=2, rp=0 ---------> 3.14597e+10
t=1, n=44, m=2, rp=0 ---------> -1.24497e+09
t=0, n=45, m=2, rp=0 ---------> 2.89046e+10
t=1, n=45, m=2, rp=0 ---------> -4.01857e+09
t=0, n=0, m=3, rp=0 ---------> 49380
t=1, n=0, m=3, rp=0 ---------> 49380
t=0, n=1, m=3, rp=0 ---------> 49380
t=1, n=1, m=3, rp=0 ---------> 49380
t=0, n=2, m=3, rp=0 ---------> 49380
t=1, n=2, m=3, rp=0 ---------> 49380
t=0, n=3, m=3, rp=0 ---------> -7.04055e+11
t=1, n=3, m=3, rp=0 ---------> 5.66998e+11
t=0, n=4, m=3, rp=0 ---------> -5.67271e+11
t=1, n=4, m=3, rp=0 ---------> 1.95503e+11
t=0, n=5, m=3, rp=0 ---------> -7.29028e+11
t=1, n=5, m=3, rp=0 ---------> 1.94643e+11
t=0, n=6, m=3, rp=0 ---------> -5.34593e+11
t=1, n=6, m=3, rp=0 ---------> 5.84205e+11
t=0, n=7, m=3, rp=0 ---------> -4.20459e+11
t=1, n=7, m=3, rp=0 ---------> 1.86427e+11
t=0, n=8, m=3, rp=0 ---------> -6.51475e+11
t=1, n=8, m=3, rp=0 ---------> 4.46492e+11
t=0, n=9, m=3, rp=0 ---------> -5.2344e+11
t=1, n=9, m=3, rp=0 ---------> 6.46977e+11
t=0, n=10, m=3, rp=0 ---------> -3.76843e+11
t=1, n=10, m=3, rp=0 ---------> 3.24968e+11
t=0, n=11, m=3, rp=0 ---------> -5.56096e+11
t=1, n=11, m=3, rp=0 ---------> 1.03688e+11
t=0, n=12, m=3, rp=0 ---------> -4.59346e+11
t=1, n=12, m=3, rp=0 ---------> 3.83165e+11
t=0, n=13, m=3, rp=0 ---------> -2.73437e+11
t=1, n=13, m=3, rp=0 ---------> 3.40789e+11
t=0, n=14, m=3, rp=0 ---------> -3.20875e+11
t=1, n=14, m=3, rp=0 ---------> 1.1627e+11
t=0, n=15, m=3, rp=0 ---------> -8.68346e+11
t=1, n=15, m=3, rp=0 ---------> 4.33123e+11
t=0, n=16, m=3, rp=0 ---------> -6.48314e+11
t=1, n=16, m=3, rp=0 ---------> 2.21972e+11
t=0, n=17, m=3, rp=0 ---------> -4.25166e+11
t=1, n=17, m=3, rp=0 ---------> 1.85241e+11
t=0, n=18, m=3, rp=0 ---------> -5.25571e+11
t=1, n=18, m=3, rp=0 ---------> 1.44536e+11
t=0, n=19, m=3, rp=0 ---------> -1.90027e+11
t=1, n=19, m=3, rp=0 ---------> -1.3241e+11
t=0, n=20, m=3, rp=0 ---------> -5.33146e+11
t=1, n=20, m=3, rp=0 ---------> 1.4505e+11
t=0, n=21, m=3, rp=0 ---------> -3.26254e+11
t=1, n=21, m=3, rp=0 ---------> -2.8722e+11
t=0, n=22, m=3, rp=0 ---------> -9.40984e+11
t=1, n=22, m=3, rp=0 ---------> 1.98628e+11
t=0, n=23, m=3, rp=0 ---------> -3.2604e+11
